,Job ID,Job Title Index,Job Title,Company Name,Company Location
0,p_447bbc295950e8b9,1,Data Reporting Analyst,Best Friends,Altona North VIC
1,p_335dc79e724048f5,1,Data Insights Analyst P&C,Coles Careers,Hawthorn East VIC
2,p_6cfb7acbba754c53,1,Data Analyst,PlaySide Studios,Melbourne VIC
3,p_fd7300023b1af3f8,1,Data Analyst - PACE Tribe,ANZ Banking Group,Melbourne VIC
4,p_8b5985f9e36e8a21,1,Senior Policy and Data Analyst (VPSG5),Department of Education and Training,Melbourne VIC
5,p_f33f1b9b2ceecb7d,1,Data Engineer | Data and Analytics,Ernst & Young,Canberra ACT
6,p_9131dc14d50f52f5,1,Data Analyst,Gallagher,East Melbourne VIC
7,p_0bb4463e436d332c,1,Data Analyst,AMP Limited,Sydney NSW
8,p_bc0735a53499182e,1,Data Quality Analyst,Macquarie Group Limited,Sydney NSW
9,p_10218952f99d6655,1,Test Analyst - Data Analytics - Melbourne,EY,Melbourne VIC
10,p_8c9274d0d7445e35,1,Data Analyst,Department of Justice and Community Safety,Melbourne City Centre VIC
11,p_12ebe239a4804501,1,Data Analyst,Bupa,Victoria
12,p_4834571a8f62137e,1,Junior Data Analyst (Contract),Veeva Systems,Sydney NSW
13,p_29ea91e7ddfbd68b,1,Business Intelligence (BI) & Data Warehouse Developer,Harris Farm,Australia
14,p_9989f3bb920b0bf0,1,Data Analyst - Utilities | Data and Analytics,Ernst & Young,Perth WA
15,p_9bee7a04d314eb2f,1,Data & Reporting Analyst,Metcash,Macquarie Park NSW
16,p_12ebe239a4804501,1,Data Analyst,Bupa,Victoria
17,p_c6fe62ecb5ff6e36,1,Data & Technology Analyst,Annalect,Sydney NSW
18,p_d2f910f5633f9b65,1,QUALITY TEACHING & LEARNING DATA ANALYST,Government of South Australia,Adelaide Region SA
19,p_92d986c042407f10,1,Data Migration Analyst,City of Monash,Melbourne VIC
20,p_8bf64cfcf1107dee,1,SQL Data Analyst - Mid Level,HUMANISED GROUP,Brisbane QLD
21,p_8a65727f0d6b3d9e,1,Data & Reporting Analyst,NAVAL GROUP AUSTRALIA,Adelaide Region SA
22,p_b5783a6498867fd7,1,Tax Data Analyst,News Corp Australia,Sydney NSW
23,p_af14f84bdb28088a,1,Shopper Analyst - CUB,Carlton & United Breweries,South Hobart TAS
24,p_0110676078565056,1,Data Analyst,Victoria Legal Aid,Melbourne City Centre VIC
25,p_648b9d0db57c6d40,1,Data Analyst,flybuys,Melbourne VIC
26,p_5fbeb28c16bd7292,1,Customer Insights Analyst,Achieve Australia,North Ryde NSW
27,p_5a8bf0580bc3841d,1,"Data Analyst - Product, Features, & Growth",Canva,Sydney NSW
