,Job ID,Job Title Index,Job Title,Company Name,Company Location
0,p_c17245ff963f3d65,1,Data Analyst - Data Understanding,TikTok,Singapore
1,p_65ee1501ef98e98b,1,Product Data Analyst,TikTok,Singapore
2,p_4b146a9013f4395b,1,"Analyst, Junior Data Scientist, Analytics Centre of Excellen...",DBS Bank,Singapore
3,p_96a0b8d9e1355c5c,1,"Intern, Data & Insights (Business Analyst)",CapitaLand,Singapore
4,p_b4396096cf4dca13,1,Data Analyst,Facebook,Singapore
5,p_6f193812c33137dd,1,Data Operations Analyst,TikTok,Singapore
6,p_d8da44a3abaccc28,1,Data Analyst - SDLC,eTeam Workforce Pte Ltd,Singapore
7,p_0b5f7d2e61386530,1,Capacity Planning Analyst,TikTok,Singapore
8,p_dc3f5251f674ae7e,1,Personal Assistant cum Data Analyst /,CAREERSTAR INTERNATIONAL,Singapore
9,p_9fce65bb7a4280ad,1,Data / Business Analyst,Groupe Crédit Agricole,Singapore
10,p_695506c7748b75f5,1,Medical Data Analyst,Optimum Patient Care Australia,Singapore
11,p_05773b099f982343,1,Ad Integrity Data Analyst-Singapore,TikTok,Singapore
12,p_f596bba62036036f,1,Data Analyst,90 Seconds,Singapore
13,p_535a95b2c281a8b0,1,Data Analyst,Nautilus Labs,Singapore
14,p_e153991dcd184720,1,KYC Analyst,Groupe Crédit Agricole,Singapore
15,p_3effd8ec4bedb859,1,Junior Data Analyst #SGUnitetraineeships #SGUP,WEVENTURE PTE. LTD.,Outram
16,p_9b9d46918e406e51,1,Data Analyst,NTUC FairPrice,Singapore
17,p_bc4a24431aadaef5,1,Business Analyst,TikTok,Singapore
18,p_6086fa1708f85bdc,1,Commodity Analyst,Cargill,Singapore
19,p_522d8a3801ad89ab,1,Ad Integrity Data Analyst-Singapore,Bytedance,Singapore
20,p_3e096fb1126469ca,1,Data Analyst,Eton House International Education House,Singapore
21,p_ec26ab2cb26a8d1c,1,Data Analyst Continuous Improvement (SGUnited Traineeship),Applied Materials South East Asia Pte Ltd,Singapore
22,p_56f0b17660a845ea,1,Workflow Analyst,TikTok,Singapore
23,p_d27b831d9370b746,1,"Equity Research - Associate Analyst, Singapore",T. Rowe Price,Singapore
24,p_dadae88fdeb4d71a,1,Data Analyst - Integrated E-Services,Institute of Technical Education,Singapore
25,p_4a906685f1bc343a,1,Internship – Advanced Data Analyst,Infineon Technologies,Singapore
26,p_053c8acf5c138114,1,Apprentice - Data Analyst,Dell Technologies,Singapore
27,p_e8a988142438116e,1,Credit Risk Business Data Analyst - SG,Luxoft,Singapore
28,p_af3044adb7e6a006,1,SHIPPING ANALYST,Maritime Singapore Connect,Singapore
29,p_d261defe761cca69,1,Quant Research Analyst,EIS Global,Singapore
30,p_815e16615729ca8b,1,LNG Market Analyst - Singapore,Kpler,Singapore
31,p_1bacecde90717c50,1,Regional Retail Data Analyst,Ninja Van,Singapore
32,p_a1ac127125b550e2,1,Wealth Management Reporting and Data Analyst,UBS,Singapore
33,p_c5c926ce297157fb,1,Business Analyst,NTT DATA Services,Remote
34,p_6f293251b243de80,1,Data Analyst,PolyOne Corporation,Jurong
35,p_bc46767ed680f78f,1,Data Analyst Manager,STAFFONDEMAND PTE. LTD.,Outram
36,p_b549eedabce66e5e,1,Marketing Data Analyst #SGUnitedTraineeships,Thermo Fisher Scientific,Singapore
37,p_ad43b5c7f886b6b5,1,Test Data Analyst,Encora,Singapore
38,p_d908566c93d88860,1,Finance Analyst,Eaton,Singapore
39,p_c0afef57d803570e,1,Data Operations Analyst,Bytedance,Singapore
40,p_bb1cd145e33c0cab,1,Associate Analyst,Cerulli Associates,Singapore
41,p_01e494db8d9db534,1,2021 Market Data Analyst - Singapore,Bloomberg,Singapore
42,p_9468cb822e2046de,1,Data Analyst,Keppel Corporation Ltd,Singapore
43,p_4d656c998042c201,1,"Intern, Data & Insights (Business Analyst)",CapitaLand Limited,Singapore
44,p_1e00354aee74c7c8,1,"Escalations Analyst, Trust & Safety Search",Google,Singapore
45,p_425611783d5cac48,1,Business Data Analyst,Merck KGaA,Singapore
46,p_a35747c908bacbd7,1,System Analyst & DATA Modeller,Techcom Solutions India Private Limited,Singapore
47,p_7a8df962612c069f,1,Research Analyst,WILKINSON INTERNATIONAL PTE. LTD.,Outram
48,p_4fdd1248456e5f3e,1,Trainee Data Analyst,M1 Limited,Jurong
