,Job ID,Job Title Index,Job Title,Company Name,Company Location
0,p_c17245ff963f3d65,1,Data Analyst - Data Understanding,TikTok,Singapore
1,p_96a0b8d9e1355c5c,1,"Intern, Data & Insights (Business Analyst)",CapitaLand,Singapore
2,p_4b146a9013f4395b,1,"Analyst, Junior Data Scientist, Analytics Centre of Excellen...",DBS Bank,Singapore
3,p_e8fe100f1fa3d75e,1,Marketing Data Analyst - SGUnited Internship Program,Thermo Fisher Scientific,Singapore
4,p_6f193812c33137dd,1,Data Operations Analyst,TikTok,Singapore
5,p_b4396096cf4dca13,1,Data Analyst,Facebook,Singapore
6,p_0b5f7d2e61386530,1,Capacity Planning Analyst,TikTok,Singapore
7,p_fbd28ada9f957199,1,"Junior Analyst, Business Intelligence (Data Science)",Dell Technologies,Singapore
8,p_501922a8b002108b,1,Data Analyst I,Covance,Singapore
9,p_05773b099f982343,1,Ad Integrity Data Analyst-Singapore,TikTok,Singapore
10,p_9fce65bb7a4280ad,1,Data / Business Analyst,Groupe Crédit Agricole,Singapore
11,p_f1d070aefaab028b,1,"Data Analyst, GFSA (Lending)",Grab Taxi,Singapore
12,p_535a95b2c281a8b0,1,Data Analyst,Nautilus Labs,Singapore
13,p_f596bba62036036f,1,Data Analyst,90 Seconds,Singapore
14,p_56f0b17660a845ea,1,Workflow Analyst,TikTok,Singapore
15,p_6086fa1708f85bdc,1,Commodity Analyst,Cargill,Singapore
16,p_bc4a24431aadaef5,1,Business Analyst,TikTok,Singapore
17,p_535a95b2c281a8b0,1,Data Analyst,Nautilus Labs,Singapore
18,p_dc3f5251f674ae7e,1,Personal Assistant cum Data Analyst /,CAREERSTAR INTERNATIONAL,Singapore
19,p_a1ac127125b550e2,1,Wealth Management Reporting and Data Analyst,UBS,Singapore
20,p_a3f2cf72d222b663,1,Data Analyst (Marketing Analytics),Shopee,Singapore
21,p_e153991dcd184720,1,KYC Analyst,Groupe Crédit Agricole,Singapore
22,p_49787a39a89ad032,1,Data Quality Analyst (1 year contract),PwC,Singapore
23,p_fbd28ada9f957199,1,"Junior Analyst, Business Intelligence (Data Science)",Dell Technologies,Singapore
