,Job Title,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Data Analyst,"The Government Digital Services (GDS) Team aims to spearhead the digital transformation of government. Our team aims to design and develop software applications that help government agencies to better serve the needs of the people of Singapore.

We are looking for a Data Analyst who is passionate in using data to contribute to production grade products, which will result in the streamlining of the customer service journey delivery process, thereby benefiting the public. You will be scoping the project with stakeholders, using data sets currently available in the team or across Government Agencies to build useful data products which will be consumed by the masses.
What to Expect:
Collaborate with stakeholders to understand their needs/pain points
Design solutions to be used for streamlining operations and/or develop solutions for citizens
Build and manage the entire end-to-end lifecycle, including:
Scoping data inputs
Data cleaning and pre-processing
Feature engineering
Building models
Deploying to production
Improving models by iterations
Contribute to the data architecture engineering decisions to support analytics
Analyse Website and Mobile Application data and suggest actionable insights for improvements

How to Succeed:
Strong understanding of key concepts, techniques and considerations in machine learning and data analytics
Experience in feature selection/extraction on a variety of data types
Experience in analysing Web and Mobile Application data
Experience with cloud deployments using AWS is an added advantage
Good communication skills to articulate findings and recommendations
Passionate to know more about predictive modelling algorithms/recommender systems",3.6,"GovTech
3.6",Singapore,"Singapore, Singapore",1001 to 5000 employees,2016,Government,Government Agencies,Government,Unknown / Non-Applicable,-1
1,Intelligence Analyst I - MRS,"Intelligence Analyst I - MRS
WorldAware PTE Ltd., Robinson 112 #11-02, Singapore, Singapore, Singapore
Req #294

Thursday, April 9, 2020

At WorldAware, we take a proactive approach to solving business challenges and our customers are at the heart of everything we do. It’s the reason we love rolling up our sleeves and getting down to work – and it’s why we’re so successful. It takes an entire team to stand behind something big. Interested?

Position Overview:

Under the general supervision of the Program Manager, and in conjunction with a team of dedicated intelligence analysts, as the Singapore-based Intelligence Analyst I you will support high-risk travel tracking, incident monitoring, impact analysis, and escalation of threats for one of WorldAware’s largest and most strategic clients. The primary focus of your role is to monitor incidents and identify threats that are likely to impact the client's operations, follow escalation protocols to ensure information is communicated accurately and timely and deliver customized intelligence products supporting strategic decision making.

Essential Duties/Responsibilities:
Monitors global events through designated tools, open source information, media, and vendor provided tools, software and resources
Monitors travel safety and security of client’s associates; provides reporting on VIP and travelers to High Risk Locations, including country-specific reports as requested
Conducts high-risk travel outreach
Escalates notifications based on agreed upon protocols and perform wellness checks with client’s associates
Analysis and assessments of events to determine potential impact to client associates, facilities, product or reputation
Follows escalation procedures to communicate threats and company exposure to client POCs
Assists in managing emergency incidents by using judgment and skills in accordance with commonly accepted incident management best practices and client policies and procedures
Available to provide surge capacity support during an emergency
Completes requests for intelligence and requests for assistance
Researches and authors events, meetings and other security briefings as requested by associate groups
Social media monitoring and report compilation
Provides triage capabilities for client hotline calls, escalating to appropriate contacts based on protocols
Works with client Global Security team to support strategic intelligence initiatives as needed
Completes due diligence requests and assist person-of-interest investigations as needed.
Maintains awareness of emerging trends and incidents in geographies and industries relevant to client operations
Provides support to communications and marketing strategies to increase awareness to client global security program, including representing the program at client-site meetings and events on an ad hoc basis
Experience, Functional and Technical Requirements:
Bachelor’s degree required; Master’s degree preferred
1-2 years’ work experience in related field required
Exposure to critical thinking, risk analysis and incident management
Intelligence gathering, analysis and alerting experience preferred
Ability to take initiative and multi-task under pressure
Effective problem-solving and time-management skills
Strong written and verbal communication skills required; accurate typing skills
Strong customer-service skills, especially in person and over the phone; ability to communicate across varying professional levels
Foreign travel and experience


Skills/Abilities:
Excellent research, writing, and verbal briefing skills
Excellent analytic skills, familiarity with analytic techniques a plus
Knowledge of Microsoft Office, especially Word, Excel, and PowerPoint
Knowledge of Google Earth and Maps
Effective problem-solving and multi-tasking skills; ability to identify gaps and recommend solutions
Ability to organize and prioritize work with little supervision
Ability to adhere to timelines and deadlines with effective time management skills
Establishing and maintaining positive professional rapport with other analysts and SME’s as well as client contacts
Foreign language and travel experience preferred
Customer service experience preferred
Experience leading and collaborating on projects with several other analysts

WorldAware is dedicated to equal opportunity in employment without regard to race, religion, gender, sexual orientation, national origin, age, veteran or disabled status, or any other protected class.",3.3,"WorldAware
3.3",Singapore,"Annapolis, MD",201 to 500 employees,1999,Company - Private,Security Services,Business Services,$50 to $100 million (SGD),-1
2,Business Analyst,"Would you like to be part of a team focused on increasing adoption of the Amazon Web Services (AWS)? AWS is leading a paradigm shift in computing and is looking for world class candidates to lead and manage programs that enable excellence in the fast growing Customer Solution Management (CSM) team across APJ. You will help shape the rapidly growing CSM function, where your passion to define and implement standard processes, methodologies, and tools will be highly valued.

Role & Responsibilities
Amazon has a strong culture of data-driven decision-making; requiring timely, accurate, and actionable intelligence that delivers significant business value. We are looking for a hands-on and motivated self-starter who is passionate about using data to help us measure every area of the business and influence decision-making. In this role, the Business Analyst will play a key role in enabling data driven decision making, serving as a bridge through the business to design and scale ways to communicate complex multi-dimensional data sets in sophisticated way. Being highly strategic, analytical and a problem solver with a keen eye for detail, you will act as a catalyst in providing the CSM organization with in-depth data insight and will take a consultative approach to defining and building upon requirements and products. You will work with a complex stakeholder landscape to turn data into critical insights and knowledge to support data driven decision making.

You will work in virtual teams across APJ and worldwide to assess processes, determine business requirements and deliver data-driven recommendations, reports and dashboards balancing insight with what is technically feasible and pragmatic. Working in an Agile way and iterating frequently, you will leverage your deep understanding of data models, networks, databases and understand how data-driven changes to process, products, services, software and hardware can improve efficiencies and add value.

You will support the continuous evolution of management reporting, conduct complex data analysis and deliver business insights in an environment of rapid growth. You will be experienced at working with large data sets and the technical tools needed to work with them. You will possess excellent communication skills and Agile project management skills, will be customer obsessed and able to communicate complex business insights both verbally and in writing in a clear and precise manner.

Key responsibilities include but are not limited to:
• Defining business requirements and reporting them back to stakeholders
• Analyzing the design of technical systems and business models.
• Carry out Processes modelling and Data modelling
• Sourcing and implementing new business technology
• Supporting variance analysis
• Finding and supporting the build of technical solutions to business requirements
• Producing reports on application development and implementation
• Develop or enhance and provision of BI reporting through the deployment of self-service reports and dashboards
• Develop or enhance and provision of advanced analysis through the use of classical statistical and machine driven techniques
• Maintain thorough knowledge of existing and emerging open source and proprietary BI and advanced analysis tools, implementing new business technology.
• Proactively propose enhancements, new features to data models and/or visualization tools to add value and understanding to the business
• Troubleshoot challenges around data models, availability of data and visualization tools
• Running A/B tests and analyzing data along with running QA checks.




Basic Qualifications

Basic qualifications
• Bachelors degree in Business Administration, Finance, Economics, Computer Science, Data Science, Engineering or other related fields
• Expert working knowledge on SQL, and R to perform data querying, building data models and conduct data analysis.
• Exceptional visualisation skills using Tableau, Qlikview or other relevant visualisation tools.
• Exhibit sound business judgment, a proven ability to influence others, strong analytical skills, and a proven track record of taking ownership, leading data-driven analyses, and influencing result
• Strong written and verbal communication skills, with a track record of presenting to senior management
• Effective self-starter who excels in a lean and fast-paced organisation




Preferred Qualifications

Preferred qualifications
· Prior experience working in a technology organization
· Experience in implementing AWS/cloud services


Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer, and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, disability, age, or other legally protected status.",4.1,"Amazon
4.1",Singapore,"Seattle, WA",10000+ employees,1994,Company - Public,Internet,Information Technology,$10+ billion (SGD),"Google, Microsoft, Walmart"
3,Data Analyst,"Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities - we're just getting started.Workplace by Facebook's mission is to give the world a place to work together and help turn organizations into communities. Launched in 2016, Workplace is Facebook's enterprise communications platform that is used by over 30,000 organizations of all sizes and 3 million paid users worldwide to transform how they connect, collaborate and get work done.

We are growing our Data team which is responsible for building and supporting our data infrastructure to project and analyze our growth and investment in tools, products, and processes. We use data to influence strategic business decisions as we optimize processes, drive efficiency, and improve experiences for our internal and external stakeholders. We partner with multiple cross-functional teams including Sales, Product, Engineering, Marketing, Operations and other Data teams to deliver support at scale. Facebook is looking for an experienced and proven Data Specialist to drive better insights and decision making for the global Workplace Customer Support organisation.

The ideal candidate will be passionate about Facebook and the role that a connected workforce can play in improving the productivity of an organization and have experience in an Enterprise SaaS organisation. They will have a track record of:Building Data pipelines using various sources of data (Raw data files, DBs, Data Marts).Designing and building scalable data tables that feed reports which are in-turn consumed by our xfn stakeholders and senior leadership.Designing and advocating for metrics that would help track and measure processes we have and make sure these metrics represent current state accurately and will drive future improvements.

We are looking for someone with a strong background in data analytics and a technical mindset to provide quantitative support and problem-solving. A successful candidate will be effective at leveraging these talents to help us achieve operational excellence. With a specialization in analytics, you will individually deliver solutions that equip and empower the team with data to improve tools, infrastructure, and processes, partner with cross-functional teams, and enable effective product support for launch and growth at scale.

Responsibilities:

Serve as a data expert leveraging analytical and technical skills to successfully support operational needs, product support and growth, and tools development
Identify and drive scalable solutions for building and automating reports, pipelines, dashboards, and infrastructure to monitor key performance metrics, workforce strategy, and product growth
Execute quantitative analyses of data and trends to proactively deliver insights, define goals, and drive improvements
Establish short and long-term goals that will advance the Support Operations productivity through analytics
Effectively plan and collaborate with team members on data driven projects to improve internal tools, systems, and data pipelines
Solve exploratory analytical problems, and contribute to/suggest process improvements
Build a solid foundation and knowledge in support policies to be able to effectively advocate for workplace support operations needs with key stakeholders (e.g., Product, Engineering, Legal, and other cross-functional teams)
Work on forecasting problems to help drive sustainable growth of the organisation.
Mininum Qualifications:

B.A. or B.S. degree with a quantitative focus in Economics, Computer Science, Information Systems, Math, Statistics, or equivalent experience
4+ years of professional experience, with a background in end to end project management and/or operations
3+ years of experience in data, reporting, and analytical problem solving
3+ years using SQL or equivalent and strong Excel skills
3+ years of experience with data visualization tools (e.g., Tableau)
2+ years of experience with forecasting, capacity and demand modeling.
Preferred Qualifications:

Masters/Graduate degree with a quantitative focus in Economics, Computer Science, Information Systems, Math, Statistics, or equivalent experience
Intermediate experience with at least one scripting language (PHP/Hack, Haskell, Python, etc.)
Experience with large data sets and distributed computing (Hive/SPARK/Presto)
Experience working in a customer experience domain ideally within an Enterprise SaaS organisation",4.3,"Facebook
4.3",Singapore,"Menlo Park, CA",10000+ employees,2004,Company - Public,Internet,Information Technology,$10+ billion (SGD),"Google, Microsoft, Apple"
4,Data Analyst,"About Our Business

Want to join the global powerhouse thats building a stronger, more sustainable future? Cargill has a team of 160,000 employees in 70 countries who are passionate about nourishing the world in safe and responsible ways. Every day, we connect farmers with markets, customers with ingredients, and people and animals with the food they need to thrive. Join us to leverage new technologies, dynamic insights and 154 years of experience to serve our food, agriculture, financial and industrial customers.

Job Purpose and Impact:

The Data Analyst will develop and provide significant business insights to help global trade compliance leaders make better decisions. With a good eye for business, you'll partner with internal stakeholders and help execute a trade compliance technology strategy that improves regulatory compliance, meets business requirements and drives efficiencies through standardization and innovation. In this position, you'll demonstrate familiarity with trade compliance and trade technology concepts, data management and decision support.

Key Accountabilities:
Data extraction, collection, cleansing and preparation for consumption.
Drive reporting through the use of available technology (Tableau, Power BI, Alteryx, SAP) and develop technical solutions for an effective, efficient data analytics platform.
Respond to complex ad-hoc data requests.
Ensure timely and accurate data models that provide management information and analysis of function performance (key performance indicators, metrics).
Identify and communicate trade compliance risks and impacts through analysis, providing transparency, interpretations and solutions to leaders.
Develop, with colleagues, detailed understanding of the business, and offer mentorship or technical solutions to solve business problems.
Required Education & Experience:
Bachelor's degree in related field.
Minimum two years of relevant business experience.
Proficiency in MS Access, SQL, or database design.
Skilled in Microsoft Excel and familiar with writing / coding in VBA or Macros.
Able to travel up to 25% of the time.


Preferred Skills & Experience:
Advanced degree in business, international trade, management information systems, computer science or meaningful background
Experience in SAP implementations
Proficiency with reporting, data visualization, extract, transform and load, database management (SQL Server, Hadoop/Cloudera),
Trade compliance background
Experience with Agile, Scrum or similar
Background in continuous improvement
Familiar with R or Python.
Good understanding of trade compliance and customs guidelines.",3.9,"Cargill
3.9",Singapore,"Wayzata, MN",10000+ employees,1865,Company - Private,Food Production,Agriculture & Forestry,$10+ billion (SGD),-1
5,Data Analyst,"Data Analyst
SingaporeOperationsExperienced
Responsibilities
1. Drive quantitative analysis projects from start to finish regarding Trust & Safety issues by developing BI metrics and analytical frameworks and all aspects of data analysis, and distil the complex results into clear and concise insights;
Deliver data support for long term business development plan from both strategic scope and execution aspects with in-depth business analysis, industry studies and market trends;
Design and establish indicator systems for safety &risks of the platform, monitor and optimize risk coverage in each link, measure the performance of content safety strategies and facilitate the implementation of the analysis.
Think proactively to identify, detect, and mitigate risk to our community ecology, and help devise a strategy to combat it.
Qualifications
1. BA/BS in Math, Economics, Statistics, or other quantitative fields
2+ years of work experience doing quantitative analysis
Ability to synthesize and communicate complex concepts and analyses in easy to understand ways
Expert experience pulling large and complex data using SQL
Experience with a data visualization tool (e.g. Mode Analytics/Chartio/Tableau)
Familiarity with web analytics tools (e.g. Google Analytics/Adobe Analytics/Amplitude)
Excellent verbal and written communication skills
Self-motivated, detail-oriented, learn autonomously, and highly organized
Apply
Share to",3.9,"TikTok
3.9",Singapore,"Los Angeles, CA",1001 to 5000 employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
6,Business Intelligence Analyst,"Roles & Responsibilities

Job Description & Requirements
Create and manage Business Intelligence using Tableau
Conceive and document design solution for dashboards through user research, storyboards etc, for front-end development.
Research source data and design queries that bring data into Tableau or other visualisation tool.
Ability to build application into dashboard using Server; Desktop setup, port / share on mobile devices.
Data analysis skills and willingness to participate in support activities, including after-hours support.
Develop user guide and documentation for users
Bachelor degree with min 1-2 yrs of experience in related field.
Good working knowledge with ERP systems
Tableau certifications would be an added advantage
Good interpersonal skills and good team player[CANDIDATES WHO REQUIRE WORK PASSES NEED NOT APPLY]",-1,FUJIFILM ASIA PACIFIC PTE. LTD.,Singapore,-1,-1,-1,-1,-1,-1,-1,-1
7,Business Analyst,"How Will You Make an Impact?

Thermo Fisher Scientific Inc. is the world leader in serving science, with annual revenue exceeding $25 billion. Our Mission is to enable our customers to make the world healthier, cleaner and safer. Whether our customers are accelerating life sciences research, solving complex analytical challenges, improving patient diagnostics and therapies or increasing productivity in their laboratories, we are here to support them. Our global team of more than 75,000 colleagues delivers an unrivaled combination of innovative technologies, purchasing convenience and pharmaceutical services through our industry-leading brands, including Thermo Scientific, Applied Biosystems, Invitrogen, Fisher Scientific, Unity Lab Services and Patheon. For more information, please visit www.thermofisher.com.

What will you do?
As local ERP team member to provide tailor made solution to cater for the rapid changing demand from business.
Provide end to end daily supporting, mainly focus on Oracle EBS supply chain & Finance module and surrounding systems like MasterControl, PDM & warehouse scanner etc.
Co-work with global IT, other local IT teams and stakeholders in BU to roll out global projects into Singapore
Independently to finish gap analysis, proposal for any new request. Manage the following progress and delivery quality, conducting UAT, end user training, etc
Review and optimize business process, synergize the best practice across the Business Units
Improve local user's Oracle EBS knowledge by delivery regular specific training in accordance with BU's business feature.
Standardize local user's operation in Oracle EBS with SOP documentation
How will you get here?

I. Education
Individuals with a bachelor's degree in Computer Science.
II. Experience
6+ years' work experience.
Master in Oracle EBS Finance module with 3+ years' experience.
Good background in Oracle EBS distribution (sales, purchasing, inventory & planning) modules
III. Knowledge, Skills, Abilities
Good skills in spoken and written English, with open and professional communication style.
Self-motivated, proactive and independent.
Mature, committed, good working attitude and interpersonal skills.
Business and service oriented, good attitude with desire to cooperate
Willing to work under pressure and independently
IV. Preferred Qualifications:
* Solid knowledge in Finance/accounting area is preferred
* PMP certification is a plus",3.5,"Thermo Fisher Scientific
3.5",Singapore,"Waltham, MA",10000+ employees,1902,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (SGD),"Illumina, Agilent Technologies, Roche"
8,System Analyst - Power BI,"About UOB

United Overseas Bank Limited (UOB) is a leading bank in Asia with a global network of more than 500 branches and offices in 19 countries and territories in Asia Pacific, Europe and North America. In Asia, we operate through our head office in Singapore and banking subsidiaries in China, Indonesia, Malaysia and Thailand, as well as branches and offices.

Our history spans more than 80 years. Over this time, we have been guided by our values — Honorable, Enterprising, United and Committed. This means we always strive to do what is right, build for the future, work as one team and pursue long-term success. It is how we work, consistently, be it towards the company, our colleagues or our customers.

About the Department

The Technology and Operations function is comprised of five teams of specialists with distinct capabilities: business partnership, technology, operations, risk governance and planning support and services. We work closely together to harness the power of technology to support our physical and digital banking services and operations. This includes developing, centralising and standardising technology systems as well as banking operations in Singapore and overseas branches.

Job Responsibilities
Define the analytics platform strategy in support of the Bank’s data and analytics initiatives
Develop capability maps, architecture blueprints, roadmaps, reference architectures, integration patterns, operating models, etc
Work with business counterparts to understand and translate their business strategy and requirements into solutions and services aligned with the overall analytics platform strategy
Work with Enterprise Architects, Infrastructure Architects, Security Architects to ensure solution complies with design principles, security and control standards
Work with Project / Program Managers in the planning and delivery of projects and programs for data and analytics initiatives
Plan, monitor and manage delivery of the analytics solutions and capabilities to meet requirements within allocated budget and schedule
Manage the platform and development teams in delivery
Manage issues and risks in the course of delivery
Work with individuals across different application teams to manage dependencies in the solution
Work with Run-the-Bank teams to support day-to-day operations of the analytics applications
Job Requirements

Technical Skills & Experience
Strong technical knowledge and/or platform knowledge in analytics tools and technologies (e.g. Microsoft Power BI (must have), Qlik, OBIEE, Business Objects)
Good business domain knowledge in the Financial Services industry
More than 7 years’ experience in architecting end-to-end data and analytics solutions. This should include experience architecting solutions with large scale complex datasets
More than 5 years’ experience in defining the associated operating models in support of the system and solution
More than 7 years’ leadership experience in managing IT delivery teams
Strong understanding of cloud components
Experience in banking industry preferred
Experience in implementing large-scale, highly available applications or other large project implementation preferred
Experience in service-oriented technologies
Proven result-oriented person with a focus on delivery
Experience in actual systems development work, with prior coding, functional specifications and technical specifications and systems development and testing experience (in aggregate no less than 8 years)
Good understanding and experience in software development cycle
Highly effective communicating with business and technical stakeholders
Good problem solving, analytical, synthesis, system thinking and solutioning skills
Education
Bachelor's degree in computer science, engineering or similar domain
Related professional/technical qualification will be advantageous although not mandatory
Be a part of UOB Family

Apply now and make a difference.",3.2,"United Overseas Bank Limited
3.2",Singapore,"Singapore, Singapore",10000+ employees,1935,Company - Public,Banks & Building Societies,Finance,$10+ billion (SGD),"DBS Bank, OCBC Bank, Maybank"
9,Business Intelligence and Data Analyst,"Business Intelligence and Data Analyst

About OANDA

We have come a long way since our first currency feed 23 years ago, we are an award-winning global company offering leading currency solutions for both retail and corporate clients, from a tech start-up to a global corporation. Founded in 1996, we became the first company to share exchange rate information on the internet free of charge and in 2001, we launched a trading platform that helped pioneer the development of online-based trading around the world, enabling forex and CFD investors the ability to trade the financial markets. Our vision is to transform how our clients can meet all of their currency needs with innovative and award-winning solutions. Under new ownership with significant ambitions to grow the business on the global stage, we are looking for highly motivated, passionate individuals who want to make a mark in a dynamic environment.

Who You Are:
You’re looking for an opportunity to work with great people in an energetic and open company culture, to make your mark with a young, Agile team that is re-shaping the future of data and analytics at OANDA. You enjoy collaborating across many different disciplines within a company to help drive towards a common goal. You’re as passionate about engineering an efficient solution to a technical problem as you are at measuring and driving high-level impact to the business. You’re naturally curious about what makes a company succeed; to you, data is not just the answer, but a means to asking more questions.

Our Team:
Is a cross-functional BI/Analytics team made up of data scientists, data and software architects, software engineers and business reporting analysts spanning the globe
Has ownership over data company-wide, from analytics to global business reporting, compliance reporting and other data inquiries
Manages the entire data lifecycle from extraction to visualization
Works in SQL, Java, C++, Google Cloud BigQuery, Python and are always prototyping new technologies
You Will Assist the Lead Reporting Analyst:
Develop data-oriented solutions working with Big Data and relational databases in order to solve complex business problems leading to data-driven decision making
Partner closely with a cross-section of the company including Strategy, Business Development, Marketing, Sales, Trading, Finance and Compliance, to answer high-level business questions and gain insights from the data you help to collect and manage
Perform data analysis and modeling, create reporting and visualizations and educate the company on your findings
Influence the company’s strategic direction through enabling our business leaders to make data-driven-decisions
Support the activities related to the collection, review, cleansing and reporting of data as well as end user adoption of our BI applications across the organization
Develop data-integration processes to integrate disparate datasets into a cohesive data model in support of BI and Analytics requirements
Participate in planning sessions with key stakeholders to develop use cases and requirements for data driven analytical solutions
Help maintain OANDA’s White-Knight standard in the Forex Trading industry through Compliance initiatives
Identify and apply statistical and advanced analytical methods with customer teams enabling action-oriented results
Implement necessary processes and tools to ensure process maturity and best practices are followed
Lead design discussions as it relates to business intelligence and database solutions and drive decisions through to completion
You’ll Excel Because of Your:
Bachelor’s/master’s degree in Computer Science, Mathematics or Statistics
5+ years post-graduate experience working with relational databases, SQL, data modelling
Experience in data gathering, data analysis, conceptual and logical models, physical data design and dealing with large, complex datasets
Strong in MS Office , Excel and Powerpoint
Excellent written and verbal communication skills
Sense of urgency and time management skills
Able to work across geographies and multiple time-zones
Worked at other FinTech companies and have a background in Finance as an asset
Experience in Python, Google Cloud/BigQuery/BigData technologies as an asset
Familiarity with BI reporting with excellent customer-centric skills
Worked with enterprise business intelligence platforms like Domo, Tableau or MicroStrategy as an asset
We Value Our People:
Advance your career through company-sponsored education and training
Attend company hosted events with speakers in our industry OANDA Global Corporation is a diverse and global team with offices around the world. We value the unique skills and experiences each individual brings to OANDA.
We are committed to creating and sustaining a collegial work environment in which all individuals are treated with dignity and respect and one which reflects the diversity of the community in which we operate. We provide an inclusive and accessible environment for everyone. Candidates selected for an interview will be contacted directly. If you require accommodation during the recruitment and selection process, please let us know. We will work with you to provide as seamless a recruitment experience as possible.",2.5,"OANDA Corporation
2.5",Singapore,"San Francisco, CA",201 to 500 employees,1994,Company - Private,Brokerage Services,Finance,Unknown / Non-Applicable,"GAIN Capital, CMC Markets"
