,Job Title,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Data Analyst,"Data Analyst
SingaporeOperationsExperienced
Responsibilities
1. Drive quantitative analysis projects from start to finish regarding Trust & Safety issues by developing BI metrics and analytical frameworks and all aspects of data analysis, and distil the complex results into clear and concise insights;
Deliver data support for long term business development plan from both strategic scope and execution aspects with in-depth business analysis, industry studies and market trends;
Design and establish indicator systems for safety &risks of the platform, monitor and optimize risk coverage in each link, measure the performance of content safety strategies and facilitate the implementation of the analysis.
Think proactively to identify, detect, and mitigate risk to our community ecology, and help devise a strategy to combat it.
Qualifications
1. BA/BS in Math, Economics, Statistics, or other quantitative fields
2+ years of work experience doing quantitative analysis
Ability to synthesize and communicate complex concepts and analyses in easy to understand ways
Expert experience pulling large and complex data using SQL
Experience with a data visualization tool (e.g. Mode Analytics/Chartio/Tableau)
Familiarity with web analytics tools (e.g. Google Analytics/Adobe Analytics/Amplitude)
Excellent verbal and written communication skills
Self-motivated, detail-oriented, learn autonomously, and highly organized
Apply
Share to",3.9,"TikTok
3.9",Singapore,"Los Angeles, CA",1001 to 5000 employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
1,Data Analyst,"Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities - we're just getting started.Workplace by Facebook's mission is to give the world a place to work together and help turn organizations into communities. Launched in 2016, Workplace is Facebook's enterprise communications platform that is used by over 30,000 organizations of all sizes and 3 million paid users worldwide to transform how they connect, collaborate and get work done.

We are growing our Data team which is responsible for building and supporting our data infrastructure to project and analyze our growth and investment in tools, products, and processes. We use data to influence strategic business decisions as we optimize processes, drive efficiency, and improve experiences for our internal and external stakeholders. We partner with multiple cross-functional teams including Sales, Product, Engineering, Marketing, Operations and other Data teams to deliver support at scale. Facebook is looking for an experienced and proven Data Specialist to drive better insights and decision making for the global Workplace Customer Support organisation.

The ideal candidate will be passionate about Facebook and the role that a connected workforce can play in improving the productivity of an organization and have experience in an Enterprise SaaS organisation. They will have a track record of:Building Data pipelines using various sources of data (Raw data files, DBs, Data Marts).Designing and building scalable data tables that feed reports which are in-turn consumed by our xfn stakeholders and senior leadership.Designing and advocating for metrics that would help track and measure processes we have and make sure these metrics represent current state accurately and will drive future improvements.

We are looking for someone with a strong background in data analytics and a technical mindset to provide quantitative support and problem-solving. A successful candidate will be effective at leveraging these talents to help us achieve operational excellence. With a specialization in analytics, you will individually deliver solutions that equip and empower the team with data to improve tools, infrastructure, and processes, partner with cross-functional teams, and enable effective product support for launch and growth at scale.

Responsibilities:

Serve as a data expert leveraging analytical and technical skills to successfully support operational needs, product support and growth, and tools development
Identify and drive scalable solutions for building and automating reports, pipelines, dashboards, and infrastructure to monitor key performance metrics, workforce strategy, and product growth
Execute quantitative analyses of data and trends to proactively deliver insights, define goals, and drive improvements
Establish short and long-term goals that will advance the Support Operations productivity through analytics
Effectively plan and collaborate with team members on data driven projects to improve internal tools, systems, and data pipelines
Solve exploratory analytical problems, and contribute to/suggest process improvements
Build a solid foundation and knowledge in support policies to be able to effectively advocate for workplace support operations needs with key stakeholders (e.g., Product, Engineering, Legal, and other cross-functional teams)
Work on forecasting problems to help drive sustainable growth of the organisation.
Mininum Qualifications:

B.A. or B.S. degree with a quantitative focus in Economics, Computer Science, Information Systems, Math, Statistics, or equivalent experience
4+ years of professional experience, with a background in end to end project management and/or operations
3+ years of experience in data, reporting, and analytical problem solving
3+ years using SQL or equivalent and strong Excel skills
3+ years of experience with data visualization tools (e.g., Tableau)
2+ years of experience with forecasting, capacity and demand modeling.
Preferred Qualifications:

Masters/Graduate degree with a quantitative focus in Economics, Computer Science, Information Systems, Math, Statistics, or equivalent experience
Intermediate experience with at least one scripting language (PHP/Hack, Haskell, Python, etc.)
Experience with large data sets and distributed computing (Hive/SPARK/Presto)
Experience working in a customer experience domain ideally within an Enterprise SaaS organisation",4.3,"Facebook
4.3",Singapore,"Menlo Park, CA",10000+ employees,2004,Company - Public,Internet,Information Technology,$10+ billion (SGD),"Google, Microsoft, Apple"
2,"Lead, Market Analyst (Data)","Job Description:
Get to Know Our Team:
The team dubbed the “cool kids” is unconventional, exciting, and mysterious. We embrace a culture of teamwork, empowerment, creativity, diversity, humour, and diligence. We help shape strategic and operational decisions in the company by providing hard-to-obtain insights into the fields of transport, food, payments, and platform services. Our value proposition comes from the many offbeat techniques used to complement traditional research and analysis. We are trusted and given the freedom to explore and innovate.
Get to Know the Role:
The Lead Market Analyst (Data) is someone who is:
Experienced and passionate in coaching and mentoring others
Exemplary in leadership qualities
Excited by solving complex and ambiguous problems
Creative in thinking up of new problems to solve
Intellectually curious - never being satisfied with what the data is saying, constantly striving to derive additional insights
Comfortable with failing and possess the drive to keep trying
Critical in thinking and with a sharp eye for detail
Energetic and thrives in a dynamic and fast-paced working environment
Strong in data query/wrangling using SQL and Python/R/Scala, and data visualisation using tools like Tableau
Strong in math and statistics
Experienced in application of Machine Learning
The day-to-day activities:
Coach and mentor the Market Analysts (Data) in the team
Strategise the integration of quantitative with qualitative insights
Problem-solve to ensure output of the team’s quantitative insights meet accuracy and timeliness requirements
Use quantitative tools to uncover strategic and operational insights on various business verticals, regional markets, competitors, and any aspect of the external environment to help shape key stakeholders' perspectives
Explore, analyze and aggregate data sets to provide actionable information. Create intuitive visualizations to convey these results to key stakeholders
Explore new data sources and types, and develop new capabilities to further the team’s ability to provide valuable insights into the markets of interest
The Lead Market Analyst (Data) is not characterized by the following:
Specializing in ETL, pipelining and other data infrastructure tasks. Though it is common to build and maintain some pipelines, we have a dedicated Data Engineering team for this.
Building, training and deploying machine learning models to production in support of our App. Most production models related to our App are managed by our Engineering and Data Science teams.
Taking an academic approach to Grab’s data. That is handled by our core Data Science team.
Responding to ad-hoc data requests from business teams. Most of the operational dashboards are maintained by our Data Analytics team.",3.7,"Grab
3.7",Singapore,"Singapore, Singapore",5001 to 10000 employees,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,"Uber, Google, Facebook"
3,Data Analyst,"About Our Business

Want to join the global powerhouse thats building a stronger, more sustainable future? Cargill has a team of 160,000 employees in 70 countries who are passionate about nourishing the world in safe and responsible ways. Every day, we connect farmers with markets, customers with ingredients, and people and animals with the food they need to thrive. Join us to leverage new technologies, dynamic insights and 154 years of experience to serve our food, agriculture, financial and industrial customers.

Job Purpose and Impact:

The Data Analyst will develop and provide significant business insights to help global trade compliance leaders make better decisions. With a good eye for business, you'll partner with internal stakeholders and help execute a trade compliance technology strategy that improves regulatory compliance, meets business requirements and drives efficiencies through standardization and innovation. In this position, you'll demonstrate familiarity with trade compliance and trade technology concepts, data management and decision support.

Key Accountabilities:
Data extraction, collection, cleansing and preparation for consumption.
Drive reporting through the use of available technology (Tableau, Power BI, Alteryx, SAP) and develop technical solutions for an effective, efficient data analytics platform.
Respond to complex ad-hoc data requests.
Ensure timely and accurate data models that provide management information and analysis of function performance (key performance indicators, metrics).
Identify and communicate trade compliance risks and impacts through analysis, providing transparency, interpretations and solutions to leaders.
Develop, with colleagues, detailed understanding of the business, and offer mentorship or technical solutions to solve business problems.
Required Education & Experience:
Bachelor's degree in related field.
Minimum two years of relevant business experience.
Proficiency in MS Access, SQL, or database design.
Skilled in Microsoft Excel and familiar with writing / coding in VBA or Macros.
Able to travel up to 25% of the time.


Preferred Skills & Experience:
Advanced degree in business, international trade, management information systems, computer science or meaningful background
Experience in SAP implementations
Proficiency with reporting, data visualization, extract, transform and load, database management (SQL Server, Hadoop/Cloudera),
Trade compliance background
Experience with Agile, Scrum or similar
Background in continuous improvement
Familiar with R or Python.
Good understanding of trade compliance and customs guidelines.",3.9,"Cargill
3.9",Singapore,"Wayzata, MN",10000+ employees,1865,Company - Private,Food Production,Agriculture & Forestry,$10+ billion (SGD),-1
4,Data Analyst,"This is Adyen

We took an unobvious approach to starting a payments company, building a platform from scratch. Today, we're the payments platform of choice for the world's brightest companies. Speed is the foundation of our company. We think fast. We work fast. We launch fast. We are honest, direct, and try to have some fun too. We're creating our own path, with a global team driving sustainable growth. To maintain our momentum, we need people to join us in finding new ways of solving our unique challenges - people like you.

Data Analyst

We're looking for an inquisitive, committed, thorough and fun Data Analyst. Your work will often be the starting point for new business opportunities. As such, you will make direct impact on Business Development, Risk Management, and to supporting flawless operations. You collaborate closely with other teams, such as Risk Managers, Account Managers, and the Partnerships, Sales & Compliance teams.

What you'll do:
Approach complex and multivariate calculations in a structural way.
Apply expertise in quantitative analysis, data mining and collaboration with other teams to provide actionable product insights.
Effectively communicating complicated data and findings in a simple fashion.
Solving ambiguous problems using data and providing practical business insights.
Turning analysis into effective communication and concise, actionable advice through storytelling.
Who you are:
You have excellent communication skills and you enjoy working together.
You are committed to challenge the status quo.
You are detail oriented and have the ability to multi-task.
You like to work in a high-paced environment where you may need to quickly shift priorities.
You are able to work in an independent way, while at the same time you are a strong collaborator, connecting with colleagues and sharing ideas to improve effective teamwork.
You take initiative and ownership and you dare to make decisions. You enjoy a start-up environment with little supervision.
You have experience in analyzing data and automating complex data handling through SQL, Python and/or R.
You have experience in data visualization tools such as Looker, Tableau, Micro Strategy and etc.
You have a background in business quantitative fields such as Business Analytics, Econometrics, Statistic or a technical study.
You speak English fluently – other languages are a plus.
Experience or strong affinity with card present and card-not-present is a plus.
You must already reside in Singapore, and preferably do not require a working visa sponsorship.

Who we are

Adyen is the payments platform of choice for many of the world's leading companies, providing a modern end-to-end infrastructure connecting directly to Visa, Mastercard, and consumers' globally preferred payment methods. Adyen delivers frictionless payments across online, mobile, and in-store channels. With offices across the world, Adyen serves customers including Facebook, Uber, Spotify, Casper, Bonobos and L'Oreal.

Ready to meet us?

If you are excited about this role, apply by clicking the below link. We can't wait to meet you!",4.5,"Adyen
4.5",Singapore,"Amsterdam, Netherlands",501 to 1000 employees,2006,Company - Public,Financial Transaction Processing,Finance,$2 to $5 billion (SGD),"Worldpay, Stripe, Ingenico Group"
5,Data Analyst,"Req. ID: 152861

Our vision is to transform how the world uses information to enrich life. Join an inclusive team focused on one thing: using their expertise in the relentless pursuit of innovation for customers and partners. The solution we create help make everything from virtual reality experiences to breakthroughs in neural networks possible. We do it all while committing to integrity, sustainability, and giving back to our communities. Because doing so can spark the very innovation we are pursuing.

Do you strive in a dynamic work environment? We are looking for highly motivated and dedicated individuals to join us as a Data Analyst in our Package Development Engineering Team!

Responsibilities
Collaborate with PIE, CEM, IT, Smart Manufacturing, MCT, Process Control, Equipment team to develop integrated monitoring tools to manage device yield and other critical care-about during development stage.
Extract, monitor, analyze inline data, test data and tools data to improve yield, throughput, performance, reliability, process margin and reduce costs.
Work cross-functionally with Design, Product Engineering, Modeling, Process, Equipment, Electrical and Physical Failure analysis teams, Defect Analysis, Param, and Quality teams to understand issues, targets, and priorities for development
Summarize complex problems, derive, explain data-driven actions taken to address them and drive team to execute with defined sub milestone
Periodically follow up with manager to ensure all type of goals are met and get assistance to remove obstacles. Use all available resources to manage the successful completion of goals, including resources outside of the area.
Demonstrate ability to give effective presentations to both small and large groups on project updates and new initiative proposals. Communicate in a timely manner and help drive to fix the issue where necessary.
Develop machine learning algorithm / predictive models and collaborate with engineering teams on improvement projects / case studies
Requirements:

B.S. Degree or higher in Mechanical, Electrical, Industrial, Computer Science or related field
Familiar or had experience with Big Data, Data Warehousing or Business Intelligent technologies.
Good knowledge in some following programming or scripting languages like Java, Linux, Matlab, C#/C++, Python, Perl and/or R on Linux/Windows platforms.
Good data extraction, analysis, problem solving, reporting and presentation skills. Proven ability to troubleshoot and solve issues, and address root cause.
Good multi-tasking, verbal and written communication skills.
Good interpersonal skills and customer/co-worker relationships. Successfully demonstrated teamwork skills with a strong focus on developing good team dynamics.
Good organizational capabilities and ability to work effectively with minimal supervision.
Ability to be flexible with job responsibilities and take the initiative to assume added responsibilities.
Knowledge in Semiconductor Device Physics, Fabrication, Assembly and Test is an added advantage.
Good in Statistics, Probability and other Mathematical Models
Work Location: 990 Bendemeer Road, Singapore 339942

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.

For US Sites Only: To request assistance with the application process and/or for reasonable accommodations, please contact Micron’s Human Resources Department at 1-800-336-8918 or 208-368-4748 and/or by completing our General Contact Form

Keywords: Singapore || Central Singapore (SG-01) || Singapore (SG) || Backend Manufacturing || College || Regular || Engineering || #LI-MH2 || Tier 3 ||",3.4,"Micron Technology
3.4",Singapore,"Boise, ID",10000+ employees,1978,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (SGD),"Samsung Electronics, SK hynix, Toshiba"
6,Data Analyst,"The Government Digital Services (GDS) Team aims to spearhead the digital transformation of government. Our team aims to design and develop software applications that help government agencies to better serve the needs of the people of Singapore.

We are looking for a Data Analyst who is passionate in using data to contribute to production grade products, which will result in the streamlining of the customer service journey delivery process, thereby benefiting the public. You will be scoping the project with stakeholders, using data sets currently available in the team or across Government Agencies to build useful data products which will be consumed by the masses.
What to Expect:
Collaborate with stakeholders to understand their needs/pain points
Design solutions to be used for streamlining operations and/or develop solutions for citizens
Build and manage the entire end-to-end lifecycle, including:
Scoping data inputs
Data cleaning and pre-processing
Feature engineering
Building models
Deploying to production
Improving models by iterations
Contribute to the data architecture engineering decisions to support analytics
Analyse Website and Mobile Application data and suggest actionable insights for improvements

How to Succeed:
Strong understanding of key concepts, techniques and considerations in machine learning and data analytics
Experience in feature selection/extraction on a variety of data types
Experience in analysing Web and Mobile Application data
Experience with cloud deployments using AWS is an added advantage
Good communication skills to articulate findings and recommendations
Passionate to know more about predictive modelling algorithms/recommender systems",3.6,"GovTech
3.6",Singapore,"Singapore, Singapore",1001 to 5000 employees,2016,Government,Government Agencies,Government,Unknown / Non-Applicable,-1
7,"Financial Analyst (Data Analytics), Group Operations & Technology Financial Control","Responsibilities

• Interpret data, analyze results using statistical techniques and provide ongoing reports
• Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality
• Acquire data from primary or secondary data sources and maintain databases/data systems
• Identify, analyze, and interpret trends or patterns in complex data sets
• Filter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems
• Work with management to prioritize business and information needs
• Locate and define new process improvement opportunities

• Proven working experience as a data analyst or business data analyst
• Technical expertise regarding data models, database design development, data mining and segmentation techniques
• Strong knowledge of and experience with reporting packages (Business Objects etc), databases (SQL etc), programming (XML, Javascript, or ETL frameworks)
• Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, SPSS, SAS etc)
• Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy
• Adept at queries, report writing and presenting findings
• BS in Mathematics, Economics, Computer Science, Information Management or Statistics",3.6,"Ocbc Bank
3.6",Singapore,"Singapore, Singapore",10000+ employees,1932,Company - Public,Banks & Building Societies,Finance,$10+ billion (SGD),"DBS Bank, United Overseas Bank"
8,Associate Software Engineer - Data and Analytics/Data Analyst,"Associate Software Engineer - Data and Analytics/Data Analyst

About Equinix

At Equinix, we make the internet work faster, better, and more reliably. We hire talented people who thrive on solving hard problems and give them opportunities to hone new skills, try new approaches, and grow in new directions. Our culture is at the heart of our success and it’s our authentic, humble, gritty people who create The Magic of Equinix. We share a real passion for winning and put the customer at the center of everything we do.

We are looking for bright and enthusiastic graduates who love to learn and want to make an impact on the world. Join the Equinix team and shape the future of cloud computing and enterprise connectivity at one of the Fastest Growing Technology Companies in America (Forbes).

Job Description

Data and Analytics team focuses on next generation big data platform, data pipeline, data science and data visualization need for better hindsight, insight and foresight for Equinix. This role will be more focused on Data Visualization/Data Artist pillar.

As a key member of the Data and Analytics team, you will be responsible for interpreting patterns, trends and meaningful insights from data provided and help business take right decision. You will be responsible for end to end development lifecycle from design, implementation, and testing with a focus on delivering solutions against business goals, technical requirements, and platform engineering standards.

Responsibilities/Tasks
Develop visualization tasks to support above projects
Develop storyline-based analytics dashboard to support above projects
Develop data catalogue and data lineage for Analytics
Be a proactive self-starter and take responsibility for feature-focused unit and system testing
Skills
Experience in using SQL database or NoSQL Databases
Experience using Tableau, Power BI and other visualization tools
Experienced in designing “data exploratory” & “storyline-based analytics dashboard/ wireframes/ prototypes”
Familiarity with graphic design, data visualization and user experience
Strong analytical, conceptual and problem-solving abilities
Soft Skills
Self-Motivated individual with ability to learn and explore on own.
Thrives in a fast-paced environment and demonstrates the technical ability.
High ownership, self-sufficient, hands-on team member with a keen desire to drive quality and maintain application stability.
Strong verbal and written communication skills.
Good analytical & debugging skills",3.8,"Equinix
3.8",Singapore,"Redwood City, CA",5001 to 10000 employees,1998,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (SGD),-1
9,Risk Data Analyst,"This is Adyen

We took an unobvious approach to starting a payments company, building a platform from scratch. Today, we're the payments platform of choice for the world's brightest companies. Speed is the foundation of our company. We think fast. We work fast. We launch fast. We are honest, direct, and try to have some fun too. We're creating our own path, with a global team driving sustainable growth. To maintain our momentum, we need people to join us in finding new ways of solving our unique challenges - people like you.

Risk Data Analyst

Adyen's Risk Team focuses on powering all of Adyen's fraud prevention efforts. From providing risk solutions to merchants, to building out real time dashboards to detect anomalies and prevent payments fraud early, Adyen's risk efforts are central to what we do.

We are looking for a passionate Risk Data Analyst who has experience working in teams that build merchant facing solutions and is hands on with data analytics.

What will you do:
Provide necessary data analysis to create business value for the merchants.
Use predictive analytics to solve complex problems and drive business decisions.
Write SQL to query relational databases.
Work cross functions with development and data analytics team across regions.
Communicate conclusions across different stakeholders and generating insights, also including client facing.
Work with data visualization tools to turn raw numbers into easy to understand and impactful graphs.
Work with Looker, Grafana or/and Python.
Manage the risk strategy of large merchants and report to their management.
Who you are:
DNA: High energy, dynamic, self-starter with a proven entrepreneurial drive. Passionate for data analytics. You like to work in a high-paced environment where quick shift of priorities is not an issue.
Analytical experience: You have experience working in data analytics, preferably in payments/financial risk/credit risk. You are highly skilled at writing SQL to query databases. You have experience with different data and statistical analysis techniques.
Other experience: You understand machine learning algorithms and anomaly detection. You are able to visualize data and communicate conclusions to non-technical stakeholders. Looker, Grafana and/or Python experience is a plus.
Knowledge: You understand global payments ecosystem, as well as payments fraud, risk, trust & safety.
Ownership: You are committed and you have demonstrated an ability to maintain high levels of productivity with minimal supervision.
English business level – additional language is a plus.
Due to the current situation, you must already reside in Singapore and do not require a work visa sponsorship (preferably).

Who we are

Adyen is the payments platform of choice for many of the world's leading companies, providing a modern end-to-end infrastructure connecting directly to Visa, Mastercard, and consumers' globally preferred payment methods. Adyen delivers frictionless payments across online, mobile, and in-store channels. With offices across the world, Adyen serves customers including Facebook, Uber, Spotify, Casper, Bonobos and L'Oreal.

Ready to meet us?

If you are excited about this role, apply by clicking the below link. We can't wait to meet you!",4.5,"Adyen
4.5",Singapore,"Amsterdam, Netherlands",501 to 1000 employees,2006,Company - Public,Financial Transaction Processing,Finance,$2 to $5 billion (SGD),"Worldpay, Stripe, Ingenico Group"
