,Job Title,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Machine Learning Engineer,"One of the world’s top Consumer Electronics company has set up an AI Lab in Singapore working across industries such as Healthcare and Logistics to develop advanced capabilities. They are currently working on numerous projects, both private and public, using Computer Vision, NLP and Speech Recognition. With a strong project pipeline, they are looking to expand the team and are looking for a Machine Learning Engineer. This is an exciting role to manage enterprise data, build features and deploy models for various AI projects. The ideal candidate will have played a significant role in delivering AI projects previously. This is an exciting time to join a team with substantial funding to develop new capabilities and you can look forward to attractive bonuses for successful projects.

Key Skills

Post graduate qualifications in Computing or Statistics with more than 3 years experience in Machine Learning.
Experience in developing code from scratch with strong programming skills in Python and experience with frameworks such as TensorFlow, Keras, PyTorch.
If you are interested in this role, please apply below or contact me for more information.
Job posted by Mohamed Idris - Registration Number: R1330973",3.9,"Eames Consulting
3.9",Singapore,"London, United Kingdom",51 to 200 employees,2002,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (SGD),-1
1,Data Scientist,"Location:
Singapore

Geography:
Asia Pacific

Capabilities:
Big data & advanced analytics

Industries:
Technology industries

About Us


Boston Consulting Group partners with leaders in business and society to tackle their most important challenges and capture their greatest opportunities. BCG was the pioneer in business strategy when it was founded in 1963. Today, we help clients with total transformation-inspiring complex change, enabling organizations to grow, building competitive advantage, and driving bottom-line impact.

To succeed, organizations must blend digital and human capabilities. Our diverse, global teams bring deep industry and functional expertise and a range of perspectives to spark change. BCG delivers solutions through leading-edge management consulting along with technology and design, corporate and digital ventures—and business purpose. We work in a uniquely collaborative model across the firm and throughout all levels of the client organization, generating results that allow our clients to thrive.

Practice Area Profile

BCG GAMMA combines innovative skills in computer science, artificial intelligence, statistics, and machine learning with deep industry expertise. The BCG GAMMA team is comprised of world-class data scientists and business consultants who specialize in the use of advanced analytics to get breakthrough business results. Our teams own the full analytics value-chain end to end: framing new business challenges, building fact-bases, designing innovative algorithms, creating scale through designing tools and apps, and training colleagues and clients in new solutions. Here at BCG GAMMA, you’ll have the chance to work with clients in every BCG region and every industry area. We are also a core member of a rapidly growing analytics enterprise at BCG - a constellation of teams focused on driving practical results for BCG clients by applying leading edge analytics approaches, data, and technology.

Role Profile

We’re looking for a passionate and talented Data Scientist to join our rapidly growing team. In this role, you’ll have the chance to roll up your sleeves and apply data science methods and analytics to real-world business situations across a variety of industries. Successful candidates are intellectually curious builders who are biased toward action, scrappy, and communicative.

WHO YOU ARE YOU:
Are comfortable in a client-facing role with the ambition to lead teams
Can distill complex results or processes into simple, clear visualizations
Are able to explain sophisticated data science concepts in an understandable manner
Love building things and are comfortable working with modern development tools and writing code collaboratively (bonus points if you have a software development or DevOps experience)
Have significant experience applying advanced analytics to a variety of business situations and a proven ability to synthesize complex data; as well as a deep understanding of modern machine learning techniques and their mathematical underpinnings, and are able to translate this into business implications for our clients
Have strong project management skills

Your Qualifications

JOB REQUIREMENTS:
Recent PhD or Master’s Degree in computer science, applied mathematics, statistics, machine learning, or other data centric disciplines with 3-8 years of relevant industry work experience providing advanced analytics solutions strongly preferred.
Strong record of extracurricular activity, professional accomplishment, and leadership
Additional experience in core analytic methods such as predictive modeling, customer segmentation/clustering, network analysis, supply chain optimization, etc.
Fluency in at least one scripting language (e.g. Python, R)

Date Posted:
31-Jan-2019

Boston Consulting Group is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, age, religion, sex, sexual orientation, gender identity / expression, national origin, disability, protected veteran status, or any other characteristic protected under national, provincial, or local law, where applicable, and those with criminal histories will be considered in a manner consistent with applicable state and local laws.
BCG is an E-Verify Employer. Click here for more information on E-Verify.",4.3,"Boston Consulting Group
4.3",Singapore,"Boston, MA",10000+ employees,1963,Company - Private,Consulting,Business Services,$10 to $25 million (SGD),"McKinsey & Company, Bain & Company, Accenture"
2,Machine Learning Engineer,"Position title
Machine Learning Engineer - Accounting Firm
Description

3E Accounting Singapore is currently looking to appoint a Machine Learning Engineer to join their company digital R&D team in Singapore office.

3E Accounting Pte Ltd aims to be the leading corporate service provider and top accounting firm in Singapore providing One-Stop Solution services for our clients.

3E Accounting Pte Ltd, Singapore is the global headquarters of 3E Accounting International, an International Accounting network with a global presence in more than 80 countries worldwide.

Our Mission
To offer the Three Es: efficiency, effectiveness and economy, all part of our One-Stop Solution services for our clients.

Our Vision
The World’s leading corporate service provider, offering services beyond excellence.

Remuneration is commensurate with qualifications and work experience. Qualified and interested candidates should email their resume to info@3ecpa.com.sg

Please state your current and expected salary.

Job Responsibilities
Design machine learning solutions
Develop machine learning application according to requirements
Develop, improve and maintain the server software architecture for data transfer/population from database Centre via cloud etc.
Any other ad-hoc duties as required or assigned
Requirements
Degree in Computer Science, Information Technology or related degrees
Proven technical experience as a Machine Learning Engineer or similar role
Basic knowledge in data structure, data modeling and software architecture
Familiar with Machine Learning frameworks and libraries
Hiring organization
Employment Type
Full Time
Industry
Accounting Firm
Job Location
51 Goldhill Plaza #07-10/11, 308900, Novena, Central, Singapore
Working Hours
Mon - Fri: 9:00 to 18:00
Base Salary
S$ 3500 - S$ 6000
Date posted
April 30, 2020
Valid through
June 30, 2020
PDF Export
Export as PDF
Apply now
Position: Machine Learning Engineer - Accounting Firm
Thank you for having an interest in this position, please kindly email your resume to info@3ecpa.com.sg. Please state your current and expected salary and include in the CV a digital photo of yourself.
Phone
Send Application

Thank you for having an interest in this position, please kindly email your resume to info@3ecpa.com.sg

Please state your current and expected salary and include in the CV a digital photo of yourself.",4.3,"3E Accounting
4.3",Singapore,"Novena, Singapore",1 to 50 employees,2011,Company - Private,Accounting,Accounting & Legal,$2 to $5 billion (SGD),-1
3,Machine Learning Engineer,"We are expanding our A.I. team to improve quality of lives. Join us for more exciting tasks!

Responsibilities
Working as part of a R&D Lead’s team and collaborating with platform engineers and system experts to deliver computer vision research project from design to execution.
Working on the entire life cycle of a research project developing the design with the R&D Lead.
Developing framework for cleaning and processing data and executing experiments to evaluate algorithm performance.
Performing error analysis and validation and implementing improvements.
Requirements
Bachelor degree in Artificial Intelligence or a related subject.
Experience in applying machine learning (e.g. Tensorflow) on Computer Vision problems.
Experience in working with Python (preferred) or Java.
Experience in web programming.
Experience in apps programming would be a plus.
jobs@manjalabs.com",-1,Manja Technologies Pte Ltd,Singapore,"Singapore, Singapore",1 to 50 employees,-1,Unknown,-1,-1,Unknown / Non-Applicable,-1
4,Data Scientist,"Job Purpose:

We are looking for a Data Scientist to join our team to work on varied and challenging projects across the financial markets businesses. You will work closely with the sales and trading functions and Data Analytics Team members to deliver solutions through new and existing channels.

Job Background/context:

We believe the future is with us !

Home to where we define, ideate, develop and distribute production-ready financial solutions of far-reaching impact. And right now, the doors open to direct the future of our technology for a truly global client base. This means collaborating with the keenest minds in data science, big data, software engineering, web development, UX design and more. Doers looking to bring the next bold ideas to life for a fascinating array of clients - investing, trading and transacting at the forefront of change in markets and economies the world over.

If you have this kind of vision, capable of seeing ahead, of developing a clear path forward in a quest to try the as yet untried, here is the opportunity. In a supported, resource-rich, vibrant co-working environment, part of an ecosystem of globally interconnected labs, realising a broader mission of enabling growth and economic progress on a scale you wont find anywhere else. Welcome to our APAC Cross Markets Analytics & Digitization (CMAD), Team

Key Responsibilities:
Engage with key stakeholders across the markets businesses to understand problems and find data driven solutions
Analysis of large and complex datasets to find insights and then propose ideas to optimize businesses across asset classes (FX, Rates, Credit, Equities)
Work alongside other CMAD team members to produce fast, reliable and scalable systems
Skills & Qualifications:
You have a strong practical understanding/implementation of data science and machine learning methodologies and experience in applying them
You have a good understanding of the Python/ R language and machine learning libraries (pandas, scikit-learn, etc)
You have experience with data visualisation libraries (Matplotlib / Ggplot2) or tools like Tableau
You understand how to use SQL, PostgreSQL, S3 and have some experience with GCP /AWS
You have experience in presenting complex data driven ideas and insights to Sales /Trading management
You have high development standards, especially for code quality, code reviews, unit testing, continuous integration and deployment
You have a passion for data and a strong desire to work in a large financial services organisation
You are an adaptable, resourceful, well organised team player with a strong work ethic
You agree that verbal and written communication skills are vital
You are educated to degree level or above , preferably with Masters /PhD
-------------------------------------------------

Grade :All Job Level - All Job FunctionsAll Job Level - All Job Functions - SG

------------------------------------------------------

Time Type :Full time

------------------------------------------------------

Citi is an equal opportunity and affirmative action employer.
Minority/Female/Veteran/Individuals with Disabilities/Sexual Orientation/Gender Identity.

Citigroup Inc. and its subsidiaries (""Citi) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity CLICK HERE.

To view the ""EEO is the Law"" poster CLICK HERE. To view the EEO is the Law Supplement CLICK HERE.
To view the EEO Policy Statement CLICK HERE.
To view the Pay Transparency Posting CLICK HERE.",3.6,"Citi
3.6",Singapore,"New York, NY",10000+ employees,1812,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (SGD),-1
5,Data Scientist,"We are looking for Data Scientists who are interested in using data to draw insights that will result in policy changes or business process optimisation, benefiting the public. The applicant will be scoping projects with stakeholders, using data sets across Government Agencies, applying business acumen to tease out relevant impactful insights, and presenting insights in a clear, concise manner by using appropriate visualisations.

He/she should have some training and working experiences on data analytics, and should be comfortable with hands-on data manipulation, data modelling and data visualisation. He/she should also be comfortable with engaging stakeholders on sharpening their business problems.

The analytics work that we do are typically action oriented and cross-cutting across various domains such as social, economic and infrastructure sectors. Over time, he/she will gain exposure to various policy and ops domains and become more adept in bridging between business users and technical expertise.

What to Expect:
Work closely with stakeholders to understand their business challenges, scope the problem and develop business case on how to turn data into critical information and knowledge that are actionable and impactful,.
Perform data cleaning, pre-processing, feature engineering and build relevant models to conduct meaningful analysis. Apply appropriate visualisation techniques to communicate the insight effectively. Iterate with the stakeholders to perform subsequent deep dives based on the initial insights.
Depending on the use case, design of dashboards and interactive visualisations as tools for data exploration and storytelling may be expected.
Potentially deployed to other Government Agencies to be their resident Data Scientist. This will involve formulating and implementing strategies to build strong pipeline of impactful projects at the Agency and executing these projects.
How to Succeed:

Bachelor Degree in Computer Science, Statistics, Economics, Quantitative Social Science, or related degrees. Advanced degrees preferred. We will also factor in relevant certifications (e.g., Coursera)
Minimum 2 years of relevant working experience, preferably in public sector or data science field
Ability to take a broad, strategic perspective as well as drill deep to understand business needs and challenges
Understand key concepts, techniques and considerations in machine learning and data analytics
Training and relevant experience in one or more of the following areas:
Data science tools such as R, Python
Visual analytics technologies like Tableau, Qlik
Excellent communication skills, both oral and written, with ability to pitch ideas and influence stakeholders
Strong analytical, conceptualisation and problem solving skills
Team player with strong organization and people handling skills
Passion for the use of analytics and data to improve Public Service",3.6,"GovTech
3.6",Singapore,"Singapore, Singapore",1001 to 5000 employees,2016,Government,Government Agencies,Government,Unknown / Non-Applicable,-1
6,Software Engineer - Machine Learning,"Software Engineer - Machine Learning
Department: Engineering and Technology
Level: Experienced
Office Location: Singapore

The Engineering and Technology team is at the core of the Shopee platform development. The team is made up of a group of passionate engineers from all over the world, striving to build the best systems with the most suitable technologies. Our engineers do not merely solve problems at hand; We build foundations for a long-lasting future. We don't limit ourselves on what we can or can't do; we take matters into our own hands even if it means drilling down to the bottom layer of the computing platform. Shopee's hyper-growing business scale has transformed most ""innocent"" problems into huge technical challenges, and there is no better place to experience it first-hand if you love technologies as much as we do.
We are a group of scientists and engineers who use our technologies to solve real world problems. We understand data and products. We live with data, collecting, analysing and using data, help user to find their favourite items, detect patterns and mining interesting results. We stand on the wave of AI revolution, using latest techniques to build products. This is a position that need continuously study and problem solving.

Job Description:
Analyse data from various sources, find patterns and provide solutions
Write high-quality, clean, elegant, and reusable code; build common libraries
Build high performance, high availability, scalability, and easy to maintain services
Communicate with other team, deep understand data from different sources and product architecture, optimise the data process pipeline
Design and implement various supporting tools as needed
Requirements:
Passionate about coding and programming, innovation, and solving challenging problems
Bachelor's or higher degree in Computer Science or related fields
In-depth understanding of data structures and other computer science fundamentals
Hands-on experience in at least one of the programming languages: Go, Python or C++
Machine learning algorithms such as clustering, classification algorithms and data processing tools such as tensorflow, scikit
Hands-on experience in distributed data platforms and processing frameworks such as Hadoop, Spark, Map-Reduce
Hands-on experience in Linux development environments and Shell Scripting",3.5,"Shopee
3.5",Singapore,"Singapore, Singapore",5001 to 10000 employees,2015,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,"Lazada, Tokopedia"
7,Machine Learning Engineer,"Writing modular, scalable and efficient code jointly developed with senior tech team on agreed architecture. Implementation of security and data protection while ingesting and analyzing ""big data"". Real-time integration of various data sources, ingestion (ETL - extract, transform, and load) of data through our data pipes, and execution of algo packs delivering insights back to client's systems. Liaising with frontend developers/vendors to support the backend data platform. Create and maintain software documentation. Requirements Working experience, especially in large-scale production environment. Excellent programming skill in one or more scripting languages: Python, Scala, Java, JavaScript. Understanding of the threading limitations of Python, and multi-process architecture. Background in machine learning is advantageous. Additional experience in Node JS and React Experience in any one of the following fields is highly preferred: cloud computing platform database management (NoSQL preferred) distributed computing/lambda architecture Spark and HDFS Interested applicants, kindly furnish us with your detailed resume in MS Words format and click ""Apply Now"" button or send your CV to for an initial discussion. We regret to inform only shortlisted candidates will be notified. Applicants who do not possess necessary experience or qualification will still be considered on individual merits and may be contacted for other opportunities. JOBSTUDIO PTE LTD EA License No: 10C4754 EA Personnel: Huang Mei Bao EA Personnel Reg No: R1101805

Minimum of 1 year(s) experience needed for this position",2.5,"JobStudio Pte Ltd
2.5",Singapore,"Singapore, Singapore",1 to 50 employees,-1,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1
8,Machine Learning Engineer,"One of the worldâ€™s top Consumer Electronics company has set up an AI Lab in Singapore working across industries such as Healthcare and Logistics to develop advanced capabilities. They are currently working on numerous projects, both private and public, using Computer Vision, NLP and Speech Recognition. With a strong project pipeline, they are looking to expand the team and are looking for a Machine Learning Engineer. This is an exciting role to manage enterprise data, build features and deploy models for various AI projects. The ideal candidate will have played a significant role in delivering AI projects previously. This is an exciting time to join a team with substantial funding to develop new capabilities and you can look forward to attractive bonuses for successful projects.
Key Skills
Post graduate qualifications in Computing or Statistics with more than 3 years experience in Machine Learning.
Experience in developing code from scratch with strong programming skills in Python and experience with frameworks such as TensorFlow, Keras, PyTorch.
If you are interested in this role, please apply below or contact me for more information. Job posted by Mohamed Idris - Registration Number: R1330973

One of the worldâ€™s top Consumer Electronics company has set up an AI Lab in Singapore working across industries such as Healthcare and Logistics to develop advanced capabilities. They are currently working on numerous projects, both private and publi",-1,Eames Consulting Group (Singapore) Pte. Ltd,Singapore,-1,-1,-1,-1,-1,-1,-1,-1
9,Software Engineer (Machine Learning),"We are a group of scientists who utilize our technology to solve real-world problems and we have a deep understanding in our data and products. We collect, analyze and use our data to help users in finding their favourite items. We also detect patterns while data mining interesting results. We stand on the wave of AI revolution, using latest techniques to build products. This is a position that requires continuously study and solving problems.
Job Description
Analyze data from various sources, find patterns and provide solutions for problems in product
Write high-quality, clean, simple, and reusable code; build common libraries
Build high performance, high availability, scalability, and easy to maintain services
Communicate with other teams, posses a deep understanding of data from different sources and product architecture to help optimize the data process pipeline
Design and implement various supporting tools as required
Job Requirements
Bachelor's degree or higher in Computer Science or related field
Passionate about coding and programming, innovation, and solving challenging problems
In-depth understanding of data structures and other computer science fundamentals
Hands-on experience with one of the programming languages including Go, Python, and C++
Hands-on experience with NLP, mining of structured, semi-structured, and unstructured data
Intuitive understanding of machine learning algorithms, e.g. clustering, classification algorithms and data processing tools such as tensorflow, scikit

Hands-on experience in these areas will be advantageous:
Distributed data platforms and processing frameworks such as Hadoop, Spark, Map-Reduce
Linux development environments and Shell Scripting",3.5,"Sea Limited
3.5",Singapore,"Singapore, Singapore",5001 to 10000 employees,2009,Company - Public,-1,-1,Unknown / Non-Applicable,-1
