,Job Title,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Quantitative Trading Analyst,"Our formula for success is to hire exceptional people, encourage their ideas and reward their results.

As a Quantitative Trading Analyst in our Singapore office, you will have an opportunity to combine the disciplines of risk management, research and technology to create optimal trading and investment strategies within the regulatory framework. You will work closely with experienced traders, software engineers and quantitative researchers. You will gain exposure to multiple asset classes through hands on trading experience and data analysis. Individual discovery and collaboration with fellow team members are encouraged to develop your understanding of market behavior.

How you will make an impact…
Investigate the potential application of existing strategies to new products
Quantitatively analyze trade data and perform post-trade analysis of strategies
Assist in the development of analytical tools
Communicate relevant news, market events, and system behavior to team members in a clear and concise manner
Be willing to challenge consensus on existing methodologies and trading strategies to contribute to the advancement of the team
What you bring to the team…
A bachelor's, master's, or PhD in mathematics, statistics, physics, engineering, computer science or related field graduating between December 2019 and June 2020
Advanced quantitative, analytical and problem solving skills and the ability to deploy those skills during time-sensitive situations
A deep curiosity of analyzing large data sets using your knowledge of probability and statistics
Familiarity programming in Python, C++, C or similar languages
Are adaptive, self-motivated, enjoy challenges and significant responsibility, and thrive in fast-paced, competitive environments
Can advocate for your perspectives on trading strategies and risk in a concise manner to the team
The ability to communicate effectively and work well in teams
DRW is a technology-driven, diversified principal trading firm. We trade our own capital at our own risk, across a broad range of asset classes, instruments and strategies, in financial markets around the world. As the markets have evolved over the past 25 years, so has DRW – maximizing opportunities to include real estate, cryptoassets and venture capital. With over 1,000 employees at our Chicago headquarters and offices around the world, we work together to solve complex problems, challenge consensus and deliver meaningful results. It's a place of high expectations, deep curiosity and thoughtful collaboration.

For more information about DRW's processing activities and our use of job applicants' data, please view our Privacy Notice at https://drw.com/privacy-notice.

California residents, please review the California Privacy Notice for information about certain legal rights at https://drw.com/california-privacy-notice.",4.1,"DRW
4.1",Singapore,"Chicago, IL",1001 to 5000 employees,1992,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1
1,"CVA Quantitative Credit Analyst/Trader, GT XVA Management, Global Treasury","Role of desk
Front
Office function to analyse and manage XVA risks
Assist
Sales and Trading in the calculation and pricing of XVA charges
Optimize
customer derivatives portfolios to reduce CVA, CVAR, capital & funding
costs
Key responsibilities:
Provide
support for the XVA desk, particularly in the area of quantitative credit
analysis
Analyse
and manage underlying generic counterparty credit risks for customer
derivatives portfolio
Assist
Sales and Trading in the defeasance/mitigation of CVA exposures through
credit enhancements
Identify
solutions to transfer or transform the CVA credit risk
Assess
the fundamental and legal economics of counterparty agreements
Assist
the desk to optimize CVA risks and future regulatory capital charges
Work together with Market Risk and TFCA to assess
and/or develop CVA pricing models
LI-VN
Requirements

An academic degree in a quantitative field
Basic coding/programming knowledge, e.g. Python, C , and/or VBA
Relevant knowledge of financial instruments, in particular derivatives and structured credit
Experience in quantitative finance and/or credit structuring is required",3.6,"Ocbc Bank
3.6",Singapore,"Singapore, Singapore",10000+ employees,1932,Company - Public,Banks & Building Societies,Finance,$10+ billion (SGD),"DBS Bank, United Overseas Bank"
2,Data Scientist,"Analytics
Data Scientist - QuantumBlack

Singapore City

Apply Now

Qualifications

MSc or PhD level in the field of Computer Science, Machine Learning, Applied Statistics, Mathematics
Experience in predictive analytics, AI, machine learning, visual analytics, neural networks, deep learning
Programming experience: Python & SQL preferred
Experience in applying data science methods to business problems
Good presentation and communication skills, with the ability to explain complex analytical concepts to people from other fields

Who You'll Work With


As a Data Scientist at QuantumBlack in Singapore, you will work with other Data Scientists, Data Engineers, Machine Learning Engineers, Designers and Project Managers on interdisciplinary projects, using Maths, Stats and Machine Learning to derive structure and knowledge from raw data across various industry sectors.

Who you are

You are a highly collaborative individual who is capable of laying aside your own agenda, listening to and learning from colleagues, challenging thoughtfully and prioritising impact. You search for ways to improve things and work collaboratively with colleagues. You believe in iterative change, experimenting with new approaches, learning and improving to move forward quickly.

What You'll Do


As a Data Scientist at QuantumBlack in Singapore...

You will work in multi-disciplinary environments harnessing data to provide real-world impact for organisations globally.

You will influence many of the recommendations our clients need to positively change their businesses and enhance performance.

Role responsibilities
Work on complex and extremely varied data sets from some of the world’s largest organisations to solve real world problems
Develop data science products and solutions for clients as well as for our data science team
Write highly optimized code to advance our internal Data Science Toolbox
Work in a multi-disciplinary environment with specialists in machine learning, engineering and design
Add real-world impact to your academic expertise, as you are encouraged to write ‘black’ papers and present at meetings and conferences should you wish
Attend conferences such as NIPS and ICML as one global team as well as Data Science retrospectives where you will have the opportunity to share and learn from your co-workers.
Work within one of the largest and most advanced data science teams in London, support the Lead Data Scientists to develop data science products
What you’ll learn
How successful projections on real world problems across a variety of industries are completed through referencing past deliveries of end to end machine learning pipelines
Build products alongside the Core engineering team and evolve the engineering process to scale with data, handling complex problems and advanced client situations
Be able to focus on modelling by working alongside the Data Engineering team which focuses on the wrangling, clean-up and transformation of data.
Best practices in software development and productionise machine learning by working with our Machine Learning Engineering teams which optimise code for model development and scale it
Work with our UX and Visual Design teams to interpret your complex models into stunning and user-focused visualisations
Using new technologies and problem-solving skills in a multicultural and creative environment
You will work on the frameworks and libraries that our teams of Data Scientists and Data Engineers use to progress from data to impact. You will guide global companies through data science solutions to transform their businesses and enhance performance across industries including healthcare, automotive, energy and elite sport.
Real-World Impact– No project is ever the same; we work across multiple sectors, providing unique learning and development opportunities internationally.
Fusing Tech & Leadership– We work with the latest technologies and methodologies and offer first class learning programmes at all levels.
Multidisciplinary Teamwork- Our teams include data scientists, engineers, project managers, UX and visual designers who work collaboratively to enhance performance.
Innovative Work Culture– Creativity, insight and passion come from being balanced. We cultivate a modern work environment through an emphasis on wellness, insightful talks and training sessions.
Striving for Diversity– With colleagues from over 40 nationalities, we recognise the benefits of working with people from all walks of life.
Our projects range from helping pharmaceutical companies bring lifesaving drugs to market quicker to optimising a Formula1 car’s performance. At QuantumBlack you have the best of both worlds; all the benefits of being part of one of the leading management consultancies globally and the autonomy to thrive in a fast growth tech culture:
Healthcare Efficiency– We helped a healthcare provider improve their clinical trial practices by identifying congestion in diagnostic testing as a key indicator of admissions breaches.
Environmental Impact– We designed and built the first data-driven application for a state of the art centre of excellence in urban innovation by collecting real-time data from environmental sensors across London and deploying proprietary analytics to find unexpected patterns in air pollution.
Product Development– We worked with the CEO of an elite automotive organisation to reduce the 18-month car development timeframe by improving processes, designs and team structures.
Please submit your CV in English

Visit our Careers site to watch our video and read about our interview processes and benefits

As an equal opportunity employer, QuantumBlack encourages applications from all backgrounds regardless of gender, race, disability, pregnancy, marital status, age, sexual orientation, gender reassignment, religion or belief. We maintain a sense of community rooted in respect and consideration for all employees where any evaluation is based simply upon individual work and team performance.

Industries
High Tech

Functions
Technology

Apply Now
FOR U.S. APPLICANTS: McKinsey & Company is an Equal Opportunity/Affirmative Action employer.
All qualified applicants will receive consideration for employment without regard to sex, gender
identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran
status, age, or any other characteristic protected by applicable law.

FOR NON-U.S. APPLICANTS: McKinsey & Company is an Equal Opportunity employer. For additional details
regarding our global EEO policy and diversity initiatives, please visit our
McKinsey Careers and
Diversity & Inclusion sites.",4.1,"QuantumBlack
4.1",Singapore,"London, United Kingdom",501 to 1000 employees,2009,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,"Palantir Technologies, Google, Microsoft"
3,Quantitative Researcher,"Our formula for success is to hire exceptional people, encourage their ideas and reward their results.

As a Quantitative Researcher in our Singapore office, you will develop mathematical models using advanced statistical learning methods to build automated trading strategies across multiple asset classes. Our research team collaborates on idea generation and strategy development, while encouraging independent exploration and original approaches. You will have access to clean data integrated with compute resources and the support of experienced researchers, traders and dedicated software developers. You will conduct quantitative analysis of market data to uncover relationships and identify historical trends. We do not require familiarity with or prior experience in financial markets for this role. We will give you the training you need to be successful.

How you will make an impact
Extract predictive signals from financial data through both traditional statistical analysis methods and cutting edge machine learning techniques
Assist software developers to translate research strategies into production software
Optimize the order execution and risk management of our trading system
Create robust solutions to problems presented in the trading environment
Formulate and apply mathematical modeling techniques to enhance existing trading strategies and perform innovative new research with the goal of identifying and capturing trading opportunities
Automate human-decision based trading strategies; prototype algorithmic trades from trading ideas
You will be right at home if you have…
A degree in a technical discipline with a focus on statistics, machine learning, signal processing, optimization and control graduating between December 2019 and August 2020 (Bachelor's, Master's, PhD)
A curiosity for model development and experience handling large data sets
Expertise in programming using Python, R, MATLAB, or C++ for conducting research
Can advocate for your beliefs in a concise and effective way with the team
Significant hands-on experience applying machine learning algorithms to real world problems
Strong problem-solving and statistics skills
The proactive ability to take the lead on assignments and deliver practical research results in a timely manner
DRW is a technology-driven, diversified principal trading firm. We trade our own capital at our own risk, across a broad range of asset classes, instruments and strategies, in financial markets around the world. As the markets have evolved over the past 25 years, so has DRW – maximizing opportunities to include real estate, cryptoassets and venture capital. With over 1,000 employees at our Chicago headquarters and offices around the world, we work together to solve complex problems, challenge consensus and deliver meaningful results. It's a place of high expectations, deep curiosity and thoughtful collaboration.

For more information about DRW's processing activities and our use of job applicants' data, please view our Privacy Notice at https://drw.com/privacy-notice.

California residents, please review the California Privacy Notice for information about certain legal rights at https://drw.com/california-privacy-notice.",4.1,"DRW
4.1",Singapore,"Chicago, IL",1001 to 5000 employees,1992,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1
4,Quantitative Research Intern,"Quantitative Research Intern

Company Overview

WorldQuant develops and deploys systematic financial strategies across a variety of asset classes and global markets. We seek to produce high-quality trading signals (Alphas) through our proprietary research platform to employ trading strategies focused on exploiting market inefficiencies. Our teams work collaboratively to drive the production of Alphas and financial strategies the foundation of a sustainable, global trading platform.

WorldQuants success is built on a culture that pairs academic sensibility with accountability for results. Employees are encouraged to think openly about problems, balancing intellectualism and practicality. Great ideas come from anyone, anywhere. Employees are encouraged to challenge conventional thinking and possess a mindset of continuous improvement. Thats a key ingredient in remaining a leader in any industry.

Our goal is to hire the best and the brightest. We value intellectual horsepower first and foremost, and people who demonstrate an exceptional talent. There is no roadmap to future success, so we need people who can help us create it. Our collective intelligence will drive us there.

Job Responsibilities (include, but not limited to the following)

We are seeking an exceptional Quantitative Research Intern to work with a group of senior Portfolio Managers. This position is responsible for assisting with daily portfolio management tasks which includes scripting for monitoring, portfolio visualization and alpha signal analysis. Candidates need not have prior knowledge of financial markets, but must have a strong interest in learning about stock markets and other capital markets. Our highly accomplished senior staff will provide the interns with mentoring and guidance to help them succeed.

Candidates holding or pursuing a BS (Hons), MS or PhD in in Math, Physics, Computer Science or Engineering is strongly preferred. Exceptional candidates without an advanced degree will also be considered. Prior quant analysis or trading experience is a benefit.

Job Responsibilities (include, but not limited to the following):
Work with senior Portfolio Manager in building signals aimed at predicting movements of worldwide financial markets
Review and experiment ideas from academic finance literature
Automate the design framework to generate multiple signals
Evaluate signals from a large pool of signals and noise

Job Qualifications

Must be enrolled in an accredited Masters or PhD degree; Bachelor (Hons) degree candidates will also be considered
Have experience working under a Linux environment
Have experience with scripting language, Python and shell scripting are required
Programming skills, python is a must
Machine learning and / or linear algebra course work is a plus
Participated in data mining and or programming competitions (preferred)
Position based in Singapore
#LI-SB1

WorldQuant is an equal opportunity employer and does not discriminate in hiring on the basis of race, color, creed, religion, sex, sexual orientation or preference, age, marital status, citizenship, national origin, disability, military status, genetic predisposition or carrier status, or any other protected characteristic as established by applicable law.",3.9,"WorldQuant
3.9",Singapore,"Old Greenwich, CT",501 to 1000 employees,2007,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1
5,Data Scientist,"Location:
Singapore

Geography:
Asia Pacific

Capabilities:
Big data & advanced analytics

Industries:
Technology industries

About Us


Boston Consulting Group partners with leaders in business and society to tackle their most important challenges and capture their greatest opportunities. BCG was the pioneer in business strategy when it was founded in 1963. Today, we help clients with total transformation-inspiring complex change, enabling organizations to grow, building competitive advantage, and driving bottom-line impact.

To succeed, organizations must blend digital and human capabilities. Our diverse, global teams bring deep industry and functional expertise and a range of perspectives to spark change. BCG delivers solutions through leading-edge management consulting along with technology and design, corporate and digital ventures—and business purpose. We work in a uniquely collaborative model across the firm and throughout all levels of the client organization, generating results that allow our clients to thrive.

Practice Area Profile

BCG GAMMA combines innovative skills in computer science, artificial intelligence, statistics, and machine learning with deep industry expertise. The BCG GAMMA team is comprised of world-class data scientists and business consultants who specialize in the use of advanced analytics to get breakthrough business results. Our teams own the full analytics value-chain end to end: framing new business challenges, building fact-bases, designing innovative algorithms, creating scale through designing tools and apps, and training colleagues and clients in new solutions. Here at BCG GAMMA, you’ll have the chance to work with clients in every BCG region and every industry area. We are also a core member of a rapidly growing analytics enterprise at BCG - a constellation of teams focused on driving practical results for BCG clients by applying leading edge analytics approaches, data, and technology.

Role Profile

We’re looking for a passionate and talented Data Scientist to join our rapidly growing team. In this role, you’ll have the chance to roll up your sleeves and apply data science methods and analytics to real-world business situations across a variety of industries. Successful candidates are intellectually curious builders who are biased toward action, scrappy, and communicative.

WHO YOU ARE YOU:
Are comfortable in a client-facing role with the ambition to lead teams
Can distill complex results or processes into simple, clear visualizations
Are able to explain sophisticated data science concepts in an understandable manner
Love building things and are comfortable working with modern development tools and writing code collaboratively (bonus points if you have a software development or DevOps experience)
Have significant experience applying advanced analytics to a variety of business situations and a proven ability to synthesize complex data; as well as a deep understanding of modern machine learning techniques and their mathematical underpinnings, and are able to translate this into business implications for our clients
Have strong project management skills

Your Qualifications

JOB REQUIREMENTS:
Recent PhD or Master’s Degree in computer science, applied mathematics, statistics, machine learning, or other data centric disciplines with 3-8 years of relevant industry work experience providing advanced analytics solutions strongly preferred.
Strong record of extracurricular activity, professional accomplishment, and leadership
Additional experience in core analytic methods such as predictive modeling, customer segmentation/clustering, network analysis, supply chain optimization, etc.
Fluency in at least one scripting language (e.g. Python, R)

Date Posted:
31-Jan-2019

Boston Consulting Group is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, age, religion, sex, sexual orientation, gender identity / expression, national origin, disability, protected veteran status, or any other characteristic protected under national, provincial, or local law, where applicable, and those with criminal histories will be considered in a manner consistent with applicable state and local laws.
BCG is an E-Verify Employer. Click here for more information on E-Verify.",4.3,"Boston Consulting Group
4.3",Singapore,"Boston, MA",10000+ employees,1963,Company - Private,Consulting,Business Services,$10 to $25 million (SGD),"McKinsey & Company, Bain & Company, Accenture"
6,"Quant Analyst, Financial Products","The Financial Products team designs and oversees products traded on the BitMEX platform and explores the development of new markets and products that may exist away from the platform.

Responsibilities:
Developing existing and designing new margining systems.
Creating simulator tools for backtesting parameter and methodology changes across the margining system, liquidation algorithm, ideal order book and insurance fund processes.
Project management of all relevant implementations.
Designing and developing liquidation algorithms for existing and future (portfolio) margining systems. Working alongside the Trading Technology team for monitoring performance and driving improvements.
Creating and regularly reviewing quantitative models for:
The Insurance Fund
Order Book Depth, Liquidity & Health
Assisting Financial Products team members with product launches & adjustments.
Documenting all proposed production changes.
Skills Required:


7+ years experience as a quant or quant trader. Crypto Futures experience a plus.
Understanding of market dynamics & microstructure and how algos can influence them.
Ability to innovate and refine quantitative processes.
Strong communication skills; breaking down complex problems into simple concepts.
Ability to interface between the business and technology teams.
Experience managing projects across multiple departments.",4.3,"BitMEX
4.3",Singapore,"Victoria, Seychelles",51 to 200 employees,2014,Company - Private,Stock Exchanges,Finance,Unknown / Non-Applicable,-1
7,Data Scientist,"We are looking for Data Scientists who are interested in using data to draw insights that will result in policy changes or business process optimisation, benefiting the public. The applicant will be scoping projects with stakeholders, using data sets across Government Agencies, applying business acumen to tease out relevant impactful insights, and presenting insights in a clear, concise manner by using appropriate visualisations.

He/she should have some training and working experiences on data analytics, and should be comfortable with hands-on data manipulation, data modelling and data visualisation. He/she should also be comfortable with engaging stakeholders on sharpening their business problems.

The analytics work that we do are typically action oriented and cross-cutting across various domains such as social, economic and infrastructure sectors. Over time, he/she will gain exposure to various policy and ops domains and become more adept in bridging between business users and technical expertise.

What to Expect:
Work closely with stakeholders to understand their business challenges, scope the problem and develop business case on how to turn data into critical information and knowledge that are actionable and impactful,.
Perform data cleaning, pre-processing, feature engineering and build relevant models to conduct meaningful analysis. Apply appropriate visualisation techniques to communicate the insight effectively. Iterate with the stakeholders to perform subsequent deep dives based on the initial insights.
Depending on the use case, design of dashboards and interactive visualisations as tools for data exploration and storytelling may be expected.
Potentially deployed to other Government Agencies to be their resident Data Scientist. This will involve formulating and implementing strategies to build strong pipeline of impactful projects at the Agency and executing these projects.
How to Succeed:

Bachelor Degree in Computer Science, Statistics, Economics, Quantitative Social Science, or related degrees. Advanced degrees preferred. We will also factor in relevant certifications (e.g., Coursera)
Minimum 2 years of relevant working experience, preferably in public sector or data science field
Ability to take a broad, strategic perspective as well as drill deep to understand business needs and challenges
Understand key concepts, techniques and considerations in machine learning and data analytics
Training and relevant experience in one or more of the following areas:
Data science tools such as R, Python
Visual analytics technologies like Tableau, Qlik
Excellent communication skills, both oral and written, with ability to pitch ideas and influence stakeholders
Strong analytical, conceptualisation and problem solving skills
Team player with strong organization and people handling skills
Passion for the use of analytics and data to improve Public Service",3.6,"GovTech
3.6",Singapore,"Singapore, Singapore",1001 to 5000 employees,2016,Government,Government Agencies,Government,Unknown / Non-Applicable,-1
8,Credit Analyst,"Your Role

Are you an expert in assessing value and market trends? Do you have a knack for transforming large data sets into comprehensive reports? Are you good at storytelling based on market insights? We are looking for someone like that to
•undertake credit assessments of corporates (using qualitative and quantitative methods)
•make fundamental and relative value trade recommendations to the global team
•conduct meetings with company management and provide feedback to portfolio managers
•prepare thematic research pieces
•develop into a sector specialist (where possible) for assigned industries
•contribute more broadly to the global credit research effort
•perform fundamental credit research of investment grade and high yield corporates and financials

Your Team

You will be based in Singapore and will be working within the Asia-Pacific research team spread across Sydney, Hong Kong and Shanghai. Research forms the basis for recommendations to the fund managers of the Asia-Pacific fixed income portfolios and where required, global portfolios.

Your Expertise

You have:
• 7+ years of Experience in Credit Research, preferably covering south-east Asia
• a Bachelor Degree, CA/CPA/CFA/SIA preferred
• experience within Asset Management, Banking, Rating Agency or Funds Management
•a good understanding of balance sheets, cash flows and accounting methods
EFC-UBS

About Us

Expert advice. Wealth management. Investment banking. Asset management. Retail banking in Switzerland. And all the support functions. That's what we do. And we do it for private and institutional clients as well as corporations around the world.
We are about 60,000 employees in all major financial centers, in more than 50 countries. Do you want to be one of us?

Join us

We're a truly global, collaborative and friendly group of people. Having a diverse, inclusive and respectful workplace is important to us. And we support your career development, internal mobility and work-life balance. If this sounds interesting, apply now.

Disclaimer / Policy Statements

UBS is an Equal Opportunity Employer. We respect and seek to empower each individual and support the diverse cultures, perspectives, skills and experiences within our workforce.",3.5,"UBS
3.5",Singapore,"Zurich, Switzerland",10000+ employees,1862,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (SGD),"Deutsche Bank, Credit Suisse, Morgan Stanley"
9,Quantitative Researcher,"About Cubist
Cubist Systematic Strategies is one of the world’s premier investment firms. The Firm deploys systematic, computer-driven trading strategies across multiple liquid asset classes, including equities, futures, and foreign exchange. The core of our effort is rigorous research into a wide range of market anomalies, fueled by our unparalleled access to a wide range of publicly available data sources.
Job Description
Researchers are responsible for independently conducting quantitative finance research with a focus on statistical and predictive models. Successful researchers manage all aspects of the research process including methodology selection, data collection and analysis, testing, prototyping, backtesting, and performance monitoring.
Some successful researchers have joined us from similar backgrounds at other firms. Others have joined from related fields or directly from academia and have thrived with hands on guidance from our large team of experienced portfolio managers and researchers. Our most exceptional team members combine strong technical skills and a passion for problem solving with an intense curiosity about financial markets and human behavior.
Desirable Candidates
Undergrad, MS, or PhD candidates in finance, computer science, mathematics, physics, or other quantitative discipline
Strong analytical and quantitative skills
Demonstrated ability to conduct independent research utilizing large data sets
Prior experience developing, researching, or implementing quantitative models for equities, futures, and/or FX, either at a firm or independently
Programming in any of the following: C++, Java, C#, MATLAB, R, Python, or Perl
Detail-oriented
Willing to take ownership of his/her work, working both independently and within a small team
We’re looking for exceptional colleagues with unparalleled passion. If you’d like your resume to stand out, tell us about your exceptional personal achievements, even if they have nothing to do with finance. Of course we love to hear more about specific engineering or data projects that you’ve worked outside of school, or as part of your curriculum. If you’re proud of the work you did we want to hear about it. In addition to exceptional statisticians and engineers, we work with talented musicians, writers, mathematicians, and founders of non-profits; we’d love to learn more about what excites you.",3.9,"Point72
3.9",Singapore,"Stamford, CT",1001 to 5000 employees,2014,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1
