,Job Title,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Consultant,"Location:
Singapore

Geography:
Asia Pacific

Capabilities:
Technology & digital

Industries:
Technology industries

About Us


Boston Consulting Group partners with leaders in business and society to tackle their most important challenges and capture their greatest opportunities. BCG was the pioneer in business strategy when it was founded in 1963. Today, we help clients with total transformation-inspiring complex change, enabling organizations to grow, building competitive advantage, and driving bottom-line impact.

To succeed, organizations must blend digital and human capabilities. Our diverse, global teams bring deep industry and functional expertise and a range of perspectives to spark change. BCG delivers solutions through leading-edge management consulting along with technology and design, corporate and digital ventures—and business purpose. We work in a uniquely collaborative model across the firm and throughout all levels of the client organization, generating results that allow our clients to thrive.

Practice Area Profile

BCG’s Technology Advantage (TA) practice focuses on helping clients deliver competitive advantage and business superior performance through the use of data, technology and digital. TA is the fastest growing practice at BCG and at the heart of the strategic impact we have with our clients. Our consultants and experts globally work across all industries and provide deep experience and expertise across a number of topics including: * Digital Transformation * Data & Digital Platforms * Software & Agile * Digitizing the Tech Function

Role Profile

Who we seek?

BCG's TA practice is growing very rapidly and we are aggressively building our capability by adding consultants with significant experience and depth in Information Technology and demonstrated leadership in client relations, practice development, people and knowledge development.to our ranks. This experience could come from IT consulting and/or a broad range of technology backgrounds who aspire to learn how to solve strategic business problems through technology.

Your Qualifications

Strong academics from top-tier institutions (top 10% of class)
MS or MBA preferred, graduate of a leading engineering school would be a plus,
Excellent written and spoken English, other Asian languages a bonus
Experience within Telecommunications, Financial Services or a large global IT system integrator, a software vendor professional services organization or a technology start-up
Management consulting experience preferred
Experience addressing business challenges leveraging Technology solutions
Exposure to deep dive IT diagnostics, experience identifying value creation opportunities
Good understanding of enterprise architecture principles

Professional Skills:
Analytical and structured
Able to work creatively and analytically in a time-limited, problem-solving environment
Excellent communication skills
Able to build empathy within the firm and win the trust of the clients
Highly professional and rigorous
Able to think strategically/end-to-end
Good business sense
Results-oriented
Willing to travel extensively and to work on client sites

Date Posted:
05-Feb-2020

Boston Consulting Group is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, age, religion, sex, sexual orientation, gender identity / expression, national origin, disability, protected veteran status, or any other characteristic protected under national, provincial, or local law, where applicable, and those with criminal histories will be considered in a manner consistent with applicable state and local laws.
BCG is an E-Verify Employer. Click here for more information on E-Verify.",4.3,"Boston Consulting Group
4.3",Singapore,"Boston, MA",10000+ employees,1963,Company - Private,Consulting,Business Services,$10 to $25 million (SGD),"McKinsey & Company, Bain & Company, Accenture"
1,SimCorp Dimension Consultant/ Product Owner/ Senior Manager,"About the offer

We are looking for SimCorp Dimension Consultants (Freelancers) for ongoing projects in Asia-Pacific, especially in Singapore and Australia.
Requirements include a minimum of 3 years of hands-on experience in Dimension.
Remote work is possible for some projects.
Certified professionals will be preferred.
Projects range from 3 month - 2 years.

Please send us your CV and an overview of your SimCorp Dimension project experience.

About the company

Preyer Consultancy is an offical SimCorp Partner with a proven track record of over 15 years of partnership and international projects. Our client base of over 200 customers consits of:
Banks
Investment Companies
Asset Managers
Pension Funds
Insurance Companies

They value the specialist expertise and competence of our consultants and the professional implementation of the projects. Our comprehensive approach keeps the boundaries of business areas with information technology firmly in sight:
Connecting Business with IT",3.7,"Preyer GmbH
3.7",Singapore,"Kronberg im Taunus, Germany",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1
2,Senior Security Consultant,"SecureTrust, a Trustwave division, leads the industry in innovation and processes for achieving and maintaining compliance and security. SecureTrust delivers world-class consulting, compliance and risk assessment services and solutions for the enterprise market as well as tailored merchant risk management programs and solutions for merchant program sponsors around the globe. For more information, visit www.securetrust.com

As a Senior Security Consultant, you will be responsible for:
Customer engagement and project execution providing information security consultation and assessment services, helping our clients meet their compliance obligations by evaluating their business, technology and operations against security standards like the PCI DSS or HIPAA.
Sharing your expertise with clients and colleagues to aid in making decisions on topics like strategy and scope as well as deep and highly technical projects like web application architecture and security.
Providing clear, organized findings and recommendations to clients and tracking progress towards resolution and compliance.
Producing detailed, high-quality reports for clients and industry third parties like payment card brands and the PCI Security Standards Council.
Learning from our close-knit group as well as contributing your thoughts, tools, industry news or lessons learned.
Working with clients to implement practices to produce secure applications and identify and eliminate security vulnerabilities
Working independently, undertaking information security engagements including working co-ordination and project management (client interaction, deliverables, work plans, escalation's, etc.)
Growing the business by identify up-sells with existing and potential clients
Providing regular status reports on all projects assigned
Being a team player and having the capability to expand/adapt your skills in fast-paced ever-changing industry.
Skills and Qualifications
Must have previous professional experience providing consultative services as either an internal SME or as a third-party consultant.
Strong professional expertise in information security, must have the ability to thoroughly understand complex principles and apply them practically.
Comfortably present security concepts or findings to both highly technical and entirely non-technical audiences.
Strongly prefer candidates with payment card (PCI DSS, PA-DSS, P2PE, PFI), financial (GLBA, SOX, SSAE 16) or health care (HIPAA/HITECH) experience.
Must be willing to participate in relevant professional organizations like OWASP, InfraGard, and ISACA.
Willingness and desire to travel – moderate to heavy regional travel is required, opportunities for international travel are available.
SecureTrust will provide time and training for you to take and maintain industry relevant certifications, we will also provide you success bonuses when you receive said certification.
Education:

We prefer college-educated applicants, but at minimum, high school diploma or equivalent is required for employment.

SecureTrust is an Equal Opportunity Employer of Minorities, Females, Protected Veterans, and Individuals with Disabilities.

To All Agencies:

Please, no phone calls or emails to any employee of Trustwave outside of the Talent Acquisition team. Trustwave’s policy is to only accept resumes from agencies via the Trustwave Agency Portal. Agencies must have a valid fee agreement in place and they must have been assigned the specific requisition to which they submit resumes, by the Talent Acquisition team. Any resume submitted outside of this process will be deemed the sole property of Trustwave and in the event a candidate is submitted outside of this policy is hired, no fee or payment of any kind will be paid.",-1,SecureTrust,Singapore,"Chicago, IL",201 to 500 employees,2019,Company - Private,Security Services,Business Services,$100 to $500 million (SGD),-1
3,Business Analyst,"How Will You Make an Impact?

Thermo Fisher Scientific Inc. is the world leader in serving science, with annual revenue exceeding $25 billion. Our Mission is to enable our customers to make the world healthier, cleaner and safer. Whether our customers are accelerating life sciences research, solving complex analytical challenges, improving patient diagnostics and therapies or increasing productivity in their laboratories, we are here to support them. Our global team of more than 75,000 colleagues delivers an unrivaled combination of innovative technologies, purchasing convenience and pharmaceutical services through our industry-leading brands, including Thermo Scientific, Applied Biosystems, Invitrogen, Fisher Scientific, Unity Lab Services and Patheon. For more information, please visit www.thermofisher.com.

What will you do?
As local ERP team member to provide tailor made solution to cater for the rapid changing demand from business.
Provide end to end daily supporting, mainly focus on Oracle EBS supply chain & Finance module and surrounding systems like MasterControl, PDM & warehouse scanner etc.
Co-work with global IT, other local IT teams and stakeholders in BU to roll out global projects into Singapore
Independently to finish gap analysis, proposal for any new request. Manage the following progress and delivery quality, conducting UAT, end user training, etc
Review and optimize business process, synergize the best practice across the Business Units
Improve local user's Oracle EBS knowledge by delivery regular specific training in accordance with BU's business feature.
Standardize local user's operation in Oracle EBS with SOP documentation
How will you get here?

I. Education
Individuals with a bachelor's degree in Computer Science.
II. Experience
6+ years' work experience.
Master in Oracle EBS Finance module with 3+ years' experience.
Good background in Oracle EBS distribution (sales, purchasing, inventory & planning) modules
III. Knowledge, Skills, Abilities
Good skills in spoken and written English, with open and professional communication style.
Self-motivated, proactive and independent.
Mature, committed, good working attitude and interpersonal skills.
Business and service oriented, good attitude with desire to cooperate
Willing to work under pressure and independently
IV. Preferred Qualifications:
* Solid knowledge in Finance/accounting area is preferred
* PMP certification is a plus",3.5,"Thermo Fisher Scientific
3.5",Singapore,"Waltham, MA",10000+ employees,1902,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (SGD),"Illumina, Agilent Technologies, Roche"
4,Consultant,"Senior Consultant

04/13/2020

Job Description
About Infosys:

Infosys is a global leader in next-generation digital services and consulting. We enable clients in 46 countries to navigate their digital transformation. With over three decades of experience in managing the systems and workings of global enterprises, we expertly steer our clients through their digital journey. We do it by enabling the enterprise with an AI-powered core that helps prioritize the execution of change. We also empower the business with agile digital at scale to deliver unprecedented levels of performance and customer delight. Our always-on learning agenda drives their continuous improvement through building and transferring digital skills, expertise, and ideas from our innovation ecosystem.

Visit www.infosys.com to see how Infosys (NYSE: INFY) can help your enterprise navigate your next.

Short Description:
If your passion is to build solutions that really make a difference to enterprises, the community and your world, Infosys is the right place for you.
Role and Responsibilities:
As part of this drive, we are looking for an experienced J2EE Lead developer willing to own the below responsibilities, create the solutions for the different projects and who will work on new solutions or enhancing existing systems within the oil transaction pipe.
Be a multi-skilled technologist who will deliver value to the business by writing code, installing and configuring vendor systems, diagnosing and fixing problems and anything and everything that is required to support the front office users.
Actively participate in application design reviews by providing creative and practical ideas and solutions in a teamwork environment.
Be part of a business facing DevOps team to deliver new solutions.
Contribute to analysis, design, development, testing, business processes, data analytics and interfaces.
Research and evaluate alternative solutions and make recommendations.
Be a key member of a world class team of technologists developing new and exciting ways to visualize data
Develop software but will also be expected to chip in on testing, maintenance, and analysis of requirement. We prefer fully formed software engineers that programmers.
Skills /Competencies:
Essential Skills:
Ability to demonstrate in-depth understanding of software design principles and practices.
Extraordinary development skills in Java 8 and J2EE technologies (Spring, Spring AOP, Spring-Boot, Hibernate, JPA, Web Services, REST WS, SOAP WS, Junit, XML, YAML, JSON and WebLogic, JBOSS EAP 7x)
Deep knowledge of relational databases (Microsoft SQL Server, and Oracle 11g).
Preferred Skills:
Very Good understanding of integration technologies like Camel, RedHat AMQ, JDG, open shift cloud, AppDynamics, Splunk, Graphana.
Experience of using Dockers/Containers (e.g. OpenShift) and building cloud hosted applications on AWS
Hands-on experience in Behaviour Driven Development (BDD)
Experience in continuous integration and continuous delivery using tools IDE, IntelliJ, GIT, Azure DevOps, Jenkins.
Deep understanding of programming paradigms such as distributed architectures, clustering and multi-threaded program design.
Ability and willingness to pick up and use any technology that is necessary to get the job done – everything from Core Java, J2EE and Python. The candidate doesn’t have to have experience in every technology but must be prepared to tackle problems in any technology.
Experience in distributed delivery model which include stake holders from business team, Technical and Functional architects, DevOps engineers, Application support, DBA, Client/Server/DB developers and QA who are based out of multiple locations across the globe.
Knowledge of Oil & Gas Domain and Processes (good to have)
Ability to work collaboratively within a fast-paced, agile environment.
Additional Skills:
Excellent customer interfacing skills.
Excellent written and verbal communication skills.
Strong attention to detail and outstanding analytical and Problem-solving skills.
High analytical skills
A high degree of initiative and flexibility
High customer orientation
High quality awareness
Excellent verbal and written communication skills
Infosys is an equal opportunity employer and positively encourages applications from suitably qualified and eligible candidates regardless of gender or other attribute covered by equal opportunity legislation.

Please note in order to protect the interest of all parties involved in the recruitment process, Infosys does not accept any unsolicited resumes from third party vendors. In the absence of a signed agreement any submission will be deemed as non-binding and Infosys explicitly reserves the right to pursue and hire the submitted profile. All recruitment activity must be coordinated through the Talent Acquisition department.
EOE/Minority/Female/Veteran/Disabled/Sexual Orientation/Gender Identity/National Origin

Auto req ID
56040BR

State / Region / Province
Singapore

Country
Singapore

Interest Group
Infosys Limited

Role
Consultant

Company
ITL Singapore

Work Location
Singapore

External Job Title
Java J2EE Developer",3.7,"Infosys
3.7",Singapore,"Bengaluru, India",10000+ employees,1981,Company - Public,IT Services,Information Technology,$10+ billion (SGD),"Tata Consultancy Services, Accenture, Cognizant Technology Solutions"
5,Senior Business Analyst,"Position Purpose & Summary:

The Finance Senior Business Analyst will work closely with business partners and internal teams by providing functional expertise and insight to implement and execute complex process, data, and technology solutions for the Finance and/or Treasury technology solution.

You are expected to be a professional with substantial knowledge in the implementation space and have experience on low, medium and high rigor IT projects.

This job requires an experienced analyst who can effectively partner with all levels of the organization, lead others, drive results, and make challenging decisions across extremely complex, varied tasks where problems are vaguely defined and strategic in nature.

You will participate and/or lead the implementation of the Finance Solution which supports and enables Cargills Finance & Treasury processes.

You will also collaborate and help support finance related activities within the other process areas.

You are expected to follow the Cargill Project Delivery Process and Requirements Analysis framework.

To be successful in this role, you must demonstrate the following competencies:
Change Management
Ability to navigate through ambiguity
Collaborates beyond team boundaries
Resilience
Ability to translate the As Is to the To Be while understanding broader impact
Effective communication skills while liaising with the Business Units.


Principal Accountabilities:

50% - Analysis & Requirements Gathering:
Elicit Finance/ Treasury Gap requirements that are required to meet business needs using the most combination of techniques (interviews, document analysis, requirements workshops etc)
Ensure that requirements captured includes adequate details for fit/gap analysis of the current ERP solution to support any future solution development and implementation.
Evaluate requirements and/or information gathered during elicitation to resolve any errors, omissions, conflicts, and ambiguities being discovered
Ensure consistency and accurate representation when requirements and/or information gathered are compared to other sources and information collected at other elicitation sessions.
Update the finalized requirements into the agreed template or ALM system accordingly.
Participate in Requirements or Fit/Gap Review meetings to provide support.
Establish and maintain effective working relationships with the stakeholders
Support the DBT team with RIEF and Gap Configuration Inventory.
Assist the stakeholder to provide guidance, and track completion of the Chart of Account set up.
Assist the functional consultant to prepare of Functional Design Requirements.
Document the business processes E2E Flows (Business scenarios demonstrating how the ERP solution will work for the business from start to finish) based on As Is scenarios created in Business Readiness and known to-be processes from existing ERP solution.
Participate in the evaluation of system changes for downstream system and / or organisational impacts.
Plan for acceptance of solution (change management, communication, and training needs)
Provide subject matter expertise in multiple business process areas.


40% - Project & Solution Delivery Responsibilities:
Facilitate discussion and communication of solution designs across process, data, and technology that meet business requirements and adhere to relevant standards and principles, leverage common tools and processes, and meet cost/delivery objectives.
Facilitate discussion and communication of solution designs across enterprise architects, business process owners, process implementation leads, and super users.
Support solution designs review with key stakeholders for alignment (include but is not limited to design reviews, testing execution, deployment verifications, etc).
Support the Functional Consultants for preparation of all Functional Design documentation.
Act as the liaison between the business, technology teams and support teams, and ensure implementation of target architecture.
Manage workload and priorities to deliver agreed upon project milestones
Provides input to staffing plans at the project-level to identify key / required skills
Ensure traceability from business requirements through application testing and work with offshore development and QA teams clarifying requirements.
Lead and mentor less experienced staff.


10% - Business/Function Partnership:
Work with businesses to establish clear connections between business goals and strategies and the process data, and technology investments required to achieve them.
Challenge and assist business units on how they will successfully execute their plans.
Create and maintain long-term working relationships with technology teams, functional counterparts, vendors and business partners.
Effectively engages stakeholders in change management activities.
Required Education & Experience:
Bachelors degree in Business Administration, Computer Science or Management Information Systems.
6 years of experience in diverse operational, development and/or business roles.
Implementation experience in Treasury/Cash Management tools (Wallstreet Systems or equivalent) is mandatory.
Implementation experience in ERP (SAP or equivalent) to Bank Interface/Connectivity is mandatory.
Experience working with regional and global project teams.
Experience in developing integrated solutions involving process, data, and technology.
Strong analytical skills to interpret business needs and translate them into application and operational requirements.
Effective Interpersonal skills not limited to facilitation and negotiation.
Strong written and verbal communication skills.
Able to articulate technical and business information effectively to both technical and non-technical people.
Ability to quickly comprehend the functions and capabilities of new technologies.
Established skills in identifying and developing strategies to address change management issues.
Ability to travel up to 30% of the time.
Business fluency in English and Chinese to communicate with internal and external stakeholders in China.
Preferred Skills & Experience:
Implementation experience in interfacing ERP (SAP or equivalent) with 3rd party HR and expense solution will be advantageous.
Masters degree in Business or IT.
Experience in interfacing ERP (SAP or equivalent) with 3rd party HR and expense solution.
Familiarity with Business Analyst Body of Knowledge (BABOK).
Experience with in-house developed and package implementations.
Knowledge of and experience with Change Management.
Familiarity with Project Delivery Processes, Requirements Analysis, and Solution Design process framework.",3.9,"Cargill
3.9",Singapore,"Wayzata, MN",10000+ employees,1865,Company - Private,Food Production,Agriculture & Forestry,$10+ billion (SGD),-1
6,Consultant,"Job Position ID:

316



Consultant

msg global solutions Asia Private Limited

Location:

Singapore, SG

Employment Type:

Full Time

msg global is a consulting and system integration company focusing on the insurance business. We are looking for a Consultant with specialist skills in Java in Singapore. You will collaborate with other msg global project teammates and apply your strong knowledge of the insurance business processes for specification, development, testing, and documentation for SAP implementation.

What will you do?
Basic understanding of Insurance Business Processes
Participate in process flow analysis and redesign
Coordinate with business process owners, functional and technical staff to design, customize and implement solutions to meet customer requirements
Facilitate Complex Issue Resolution that may arise during Implementation
Participate in Training, Design, Documentation and delivery efforts in alignment with the Project Manager
Participate in Internal Projects as necessary
Willing to travel to Client Location up to 80%
What experiences you should have?
University degree in information technology, computer science or business administration
Basic knowledge of Insurance solutions
Very strong analytical and conceptual skills as well as a distinct willingness to learn
Ability to be creative, flexible and adaptable to a changing work environment
Superior customer focus and service-based attitude, being used to a self-dependent approach to work
Strong communication skills and strong presentation confidence - Excellent written and spoken English language skills;
Operational knowledge and project experience in package based implementation methodologies like ASAP
SAP for Insurance product knowledge
Experience working with clients and functional resources
Practical Project Experience in Business Consulting
Excellent Java knowledge
Knowledge of services development will be added as an advantage
What do we offer?
A challenging and multi-cultural working environment with experienced teams
Highly competitive compensation packages including incentive payment and private medical insurance
International exposure, internal and external training to help you further develop your talents
A team in which the core values are collaboration, thought leadership and entrepreneurship

About msg global solutions


msg global solutions is a systems integrator, software development partner and managed services provider focused on SAP solutions for accounting, finance, regulatory reporting, performance management, customer experience and IoT. Operating from offices across the globe and growing, our expert teams help clients achieve operational efficiency and improve decision-making capabilities. While the heart of our expertise is in the financial services sector, our solutions are utilized in a wide range of industries.",4.6,"msg global solutions
4.6",Singapore,"Regensdorf, Switzerland",1001 to 5000 employees,2008,Company - Private,IT Services,Information Technology,$100 to $500 million (SGD),-1
7,"Managers (SAP PP / QM) , PI-Technology Consulting","Whole industries have been disrupted and transformed in recent years by digital technology.

As an IT advisory professional, you’ll help businesses realise the value they can gain from their IT investments — supporting strategy and being a key growth driver. As part of a high-performing team, you’ll deliver exceptional client service — providing advice on how technology enablement, digital transformation and enterprise intelligence contribute to performance improvement, as well as how IT can act as multiplying effect during major program transformations.

As organisations look to leverage the advantage IT offers, we’ll work with you to develop the consultancy and analytical skills that you’ll need in today’s environment. Working on projects that cross borders and sectors, the experiences you gain here will be more valuable than anywhere else. So whenever you join, however long you stay, the exceptional EY experience lasts a lifetime.

The Opportunity
We’re looking for Managers for Technology Advisory to join our team with experience in one or more of the following:
SAP ECC6 or S/4HANA with functional competency in one of the following domains:
Logistics (PP/QM)
Your key responsibilities
Effectively manage performance improvement projects, develop analysis, run and engage client teams and stakeholders, and deliver high-quality work products.
Process strong project delivery capabilities and familiar with project management and Agile methodology. Effectively manage both onshore and offshore resources.
Cultivate and manage business development opportunities. Understand EY and its service lines and actively assess/present ways to serve clients. Develop and maintain long-term client relationships and networks. Develop relationships with team members across all EY practices to serve client needs.
Demonstrate in-depth technical/functional capabilities and professional knowledge. Demonstrate ability to assimilate new knowledge. Possess good business acumen. Remain current on new developments in advisory services capabilities.
Establish relationships with client personnel at appropriate levels. Consistently deliver quality client services. Monitor progress, manage risk and ensure key stakeholders are kept informed about progress and expected outcomes. Stay abreast of current business and industry trends relevant to the client's business.
Provide constructive on-the-job feedback/coaching to team members. Foster an innovative and inclusive team-oriented work environment. Play an active role in counseling and mentoring junior consultants within the organization.
Skills and attributes for success
Demonstrated ability to build trust and manage high level, executive relationships.
Demonstrated ability to manage and supervise teams through all phases of the project lifecycle, including requirements definition, process and prose creation, business re-engineering, and application mapping.
To qualify for the role you must have
Approximately 8-15 years of recent relevant work experience.
A bachelor’s degree in computer science, engineering, accounting, finance or a related field.
Strong written and verbal communication, interpersonal, presentation, client service and business writing and consulting skills, coupled with a strong interest in further designing, developing and integrating business operations and technology
Ideally you'll also have
Ability to research client inquiries and emerging issues
A dedication to teamwork and integrity within a professional environment
Project Management or Agile certification is desirable
What we look for

Highly motivated individuals with excellent problem-solving skills and the ability to prioritize shifting workloads in a rapidly changing industry. An effective communicator, you’ll be a confident team player that collaborates with people from various teams while looking to develop your career in a dynamic organization.

What working at EY offers

EY offers a competitive remuneration package where you’ll be rewarded for your individual and team performance. We are committed to being an inclusive employer and are happy to consider flexible working arrangements. Plus, we offer:
Support, coaching and feedback from some of the most engaging colleagues around
Opportunities to develop new skills and progress your career
The freedom and flexibility to handle your role in a way that’s right for you
About EY

As a global leader in assurance, tax, transaction and advisory services, we hire and develop the most passionate people in their field to help build a better working world. This starts with a culture that believes in giving you the training, opportunities and creative freedom to make things better. So that whenever you join, however long you stay, the exceptional EY experience lasts a lifetime.

If you can confidently demonstrate that you meet the criteria above, please contact us as soon as possible.

Join us in building a better working world. Apply now.

Want to get to know us better?

Visit ey.com/sg/careers

Become a fan on Facebook: facebook.com/EYCareersSingapore

Follow us on Instagram: instagram.com/EYSGCareers

Connect with us on LinkedIn: bit.ly/EYLinked_Careers

Watch us on YouTube: youtube.com/ernstandyoungglobal",3.8,"EY
3.8",Singapore,"London, United Kingdom",10000+ employees,1989,Company - Private,Accounting,Accounting & Legal,$10+ billion (SGD),"Deloitte, KPMG, PwC"
8,Business Analyst,"Would you like to be part of a team focused on increasing adoption of the Amazon Web Services (AWS)? AWS is leading a paradigm shift in computing and is looking for world class candidates to lead and manage programs that enable excellence in the fast growing Customer Solution Management (CSM) team across APJ. You will help shape the rapidly growing CSM function, where your passion to define and implement standard processes, methodologies, and tools will be highly valued.

Role & Responsibilities
Amazon has a strong culture of data-driven decision-making; requiring timely, accurate, and actionable intelligence that delivers significant business value. We are looking for a hands-on and motivated self-starter who is passionate about using data to help us measure every area of the business and influence decision-making. In this role, the Business Analyst will play a key role in enabling data driven decision making, serving as a bridge through the business to design and scale ways to communicate complex multi-dimensional data sets in sophisticated way. Being highly strategic, analytical and a problem solver with a keen eye for detail, you will act as a catalyst in providing the CSM organization with in-depth data insight and will take a consultative approach to defining and building upon requirements and products. You will work with a complex stakeholder landscape to turn data into critical insights and knowledge to support data driven decision making.

You will work in virtual teams across APJ and worldwide to assess processes, determine business requirements and deliver data-driven recommendations, reports and dashboards balancing insight with what is technically feasible and pragmatic. Working in an Agile way and iterating frequently, you will leverage your deep understanding of data models, networks, databases and understand how data-driven changes to process, products, services, software and hardware can improve efficiencies and add value.

You will support the continuous evolution of management reporting, conduct complex data analysis and deliver business insights in an environment of rapid growth. You will be experienced at working with large data sets and the technical tools needed to work with them. You will possess excellent communication skills and Agile project management skills, will be customer obsessed and able to communicate complex business insights both verbally and in writing in a clear and precise manner.

Key responsibilities include but are not limited to:
• Defining business requirements and reporting them back to stakeholders
• Analyzing the design of technical systems and business models.
• Carry out Processes modelling and Data modelling
• Sourcing and implementing new business technology
• Supporting variance analysis
• Finding and supporting the build of technical solutions to business requirements
• Producing reports on application development and implementation
• Develop or enhance and provision of BI reporting through the deployment of self-service reports and dashboards
• Develop or enhance and provision of advanced analysis through the use of classical statistical and machine driven techniques
• Maintain thorough knowledge of existing and emerging open source and proprietary BI and advanced analysis tools, implementing new business technology.
• Proactively propose enhancements, new features to data models and/or visualization tools to add value and understanding to the business
• Troubleshoot challenges around data models, availability of data and visualization tools
• Running A/B tests and analyzing data along with running QA checks.




Basic Qualifications

Basic qualifications
• Bachelors degree in Business Administration, Finance, Economics, Computer Science, Data Science, Engineering or other related fields
• Expert working knowledge on SQL, and R to perform data querying, building data models and conduct data analysis.
• Exceptional visualisation skills using Tableau, Qlikview or other relevant visualisation tools.
• Exhibit sound business judgment, a proven ability to influence others, strong analytical skills, and a proven track record of taking ownership, leading data-driven analyses, and influencing result
• Strong written and verbal communication skills, with a track record of presenting to senior management
• Effective self-starter who excels in a lean and fast-paced organisation




Preferred Qualifications

Preferred qualifications
· Prior experience working in a technology organization
· Experience in implementing AWS/cloud services


Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer, and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, disability, age, or other legally protected status.",4.1,"Amazon
4.1",Singapore,"Seattle, WA",10000+ employees,1994,Company - Public,Internet,Information Technology,$10+ billion (SGD),"Google, Microsoft, Walmart"
9,Technology & Analytics Consultant,"IQVIA™ is the leading human data science company focused on helping healthcare clients find unparalleled insights and better solutions for patients. Formed through the merger of IMS Health and Quintiles, IQVIA offers a broad range of solutions that harness the power of healthcare data, domain expertise, transformative technology, and advanced analytics to drive healthcare forward.

The Opportunity

IQVIA’s Real World Group is currently recruiting for a Technology & Analytics Consultant to focus on insights platforms, Natural Language Processing (NLP) and AI/ML. The successful applicant will have the opportunity to work with experienced consultants, researchers and data scientists to support the design, development and delivery of a wide range projects in the life sciences space. Assignments range in complexity and delivery model, from developing new solutions to address specific client problems, to taking global and regional solutions to new clients. The role will require flexibility and creativity in the successful application of technology and analytics to address client needs, as well as collaborating with external partners and providers.

Assignment Scope & Learning Opportunities:

(In collaboration with Principals and other team members)
Work in a client facing environment to capture requirements, identify solution components, develop solution concepts and drive the solution design and architecture for insights platforms
Develop a deep understanding the business context into which solutions will be deployed, and building value propositions and business cases to highlight the benefits of developing existing solutions or deploying new ones
Assisting with business development (e.g. opportunities identification and scoping) and proposal writing for untapped client segments
Conducting background research to drive requirements and solution development, by performing quantitative and qualitative analyses, review of research and documents and discussing with subject matter experts
Understanding specific solution considerations based on certain user group requirements and therapy area specific factors
Leading project delivery including managing projects, creating reports, presentations and other client deliverables, leading client meetings and workshops
Ensuring successful delivery of technical components, working with developer and qc teams to ensure clients can get the most value from well tested and successfully deployed platforms
Working with data scientists and analysts to ensure that wherever possible, solutions make best use of data and analytical components
The role will involve being trained on multiple IQVIA solutions, as well as doing self-learning to continually develop knowledge and skills
Skills & Experience Required
Tertiary degree in a relevant discipline e.g. computer science, information systems, engineering, informatics, analytics, data science
Ideally brings 6 to 10 years of professional experience in the development and deployment of technology solutions, with a focus on solutions that have analytical or informatic components
Excellent written and verbal communication skills required
Great interpersonal skills including ability to work effectively with others in and across the organization, including remotely in other time-zones, to accomplish team goals
Strong problem solving, analytical & project management skills
Good level of adaptability and an ability to learn quickly and apply new knowledge
Proficiency in PC applications, Excel and PowerPoint
Additional Skills & Experience of Value
Experience in technology related quality control and assurance
Experience of working with software vendors and third-party service providers to deliver projects
Prior experience in working with health organisations, governments and life science companies
Experience in using and applying Agile methodologies
Development experience
Change management experience
Business development or sales experience
Relevant academic achievements in healthcare or business management
Join Us

Making a positive impact on human health takes insight, curiosity, and intellectual courage. It takes brave minds, pushing the boundaries to transform healthcare. Regardless of your role, you will have the opportunity to play an important part in helping our clients drive healthcare forward and ultimately improve outcomes for patients.

Forge a career with greater purpose, make an impact, and never stop learning.

Apply Now!",3.6,"IQVIA
3.6",Singapore,"Durham, NC",10000+ employees,2017,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (SGD),"PPD, INC Research, PRA Health Sciences"
