job_id,job_title_id,country_id,job_title,company_name,location_id
p_ecae2dcad8f17d8b,1,2,Data & Systems Analyst,Protein Industries Canada,161
pj_12dccdfbb8ef0da5,1,2,Junior Data Analyst - LOCAL | MTL,BDP CALL CENTER,209
pj_7837ad55c28258ea,1,2,Pipeline Inline-Inspection Data Analyst (ILI Level 2-3),Onstream Pipeline Inspection Services Inc.,69
p_05719d87a0059bf7,1,2,Data and Reporting Analyst,Nunavut Government,106
p_bf4bd5f13d04a674,1,2,Specialist-Data Visualization,Canadian Red Cross,72
p_13a59e490ff74b5b,1,2,Irrigation Data Analyst,Government of Alberta,121
p_342507b44891b778,1,2,Content Researcher & Analyst,Upfeat Media Inc.,162
p_badd1ceb510f77f0,1,2,Data Analyst,Paradigm Consulting Group,161
p_ee7f4d3dae51aa09,1,2,Enterprise DBA or Data Analyst,Finesse-Tech,63
pj_e65431d29d17c9f0,1,2,Business Analyst,LENDCARE,152
pj_341545c1296400eb,1,2,"Junior Business Analyst, Inventory Control (Excel Expert)",Toronto Research Chemicals,205
p_e58d6f89cf5f08cc,1,2,Group Data Analyst,GroupHEALTH Benefit Solutions,195
pj_f0b375a54e98b0f2,1,2,Data Analyst/Support Analyst (Bilingual),Motoinsight,205
pj_75ea8f8e7fe1a077,1,2,Fenergo Data Analyst,Aerotek,205
p_b5cfd68de25520d9,1,2,FO 18R - Business Data Analyst,BC Public Service,43
p_be48b0ed34115aff,1,2,Competitive Intelligence Data Analyst - VIE Contract (W/M),Sanofi,119
p_6b97dd600f823df0,1,2,DATA ANALYST,Compass Group Canada,69
p_51adbd4615daf17e,1,2,Data Analyst,University of Saskatchewan,174
p_4d2a5694c8fd4690,1,2,"Senior Analyst, Data Insights - Property Claims",Aviva,126
p_b15d3bb40f078937,1,2,Analyst Data Integrity - 6 month contract,Sobeys,69
p_803bd3e2565b7a03,1,2,Data Analyst,theScore Inc.,162
p_cc617ef53f436042,1,2,Business Systems and Reporting Analyst,First Nations Bank of Canada,174
pj_4f582a4ef5db5e8c,1,2,Intermediate Database Analyst,PointClickCare,162
p_0d39670d970efa20,1,2,Junior Data Analyst,GroupHEALTH Benefit Solutions,195
p_244e0fc80c1af441,1,2,Data Analyst (w/SQL),J.D. Power,144
p_637b0b34841c500f,1,2,Analyste de données / Data Analyst,Norton Rose Fulbright,159
p_f65b7e2e93a9ea22,1,2,"Investor Relations Analyst, ESG & Data",opentext,162
p_0bb44eee5f5cca5d,1,2,Data Analyst,Prodigy Systems Inc.,205
p_41017074c9e52a67,1,2,"Data Analyst, Course Evaluations",University of Toronto,205
p_2ff2228d34513935,1,2,Data Analyst - Contract position (Open Ended),resulta,55
p_52df01128134e3f6,1,2,Data Science Analyst (Remote),Yelp,162
p_ef38416931de3dc1,1,2,Data Analyst,Toronto Transit Commission,205
p_f789dfe5190dd889,1,2,Data Quality Analyst Summer Co-op 2021,RBC,144
p_0d340d205d5c02cb,1,2,data warehouse analyst,1st Call Industrial Ltd.,132
p_de6ee53c2fc63a3c,1,2,Senior Data Analyst,resulta,55
p_ab511e3ea34b877b,1,2,"Information and Data Analyst, Population Health Observatory",Fraser Health,195
p_7faa01a2aa479774,1,2,Data Governance Analyst,Pacific Data Integrators,205
p_54ba69c3cabba411,1,2,Crime Analyst,Regina Police Service,161
p_7c6ccdaef3b15fe3,1,2,Data Analyst,Veem,146
pj_febc885b489207ab,1,2,Senior Business Intelligence Analyst (B052-20),Legal Aid BC,207
p_5a2a57d3aa226f33,1,2,Database Analyst,SoftSim Technologies,135
p_bfa221db7deb152c,1,2,Business Analyst I,University of British Columbia,207
p_26d47fee690df6d4,1,2,Data Analyst,Hyper Hippo,207
pj_79853eee0f0d2c99,1,2,"Analyst, Shareholder Advisory",AST Trust Company (Canada),205
p_5856204cc05b4fa2,1,2,BI Data Analyst,Precision Drilling Corporation,69
p_48da79915db7db90,1,2,Senior Analyst,Nova Scotia Health Authority,196
p_a4493582aac8e368,1,2,Junior Data Analyst - Relational Data Bases,GHD,216
p_240c711725fafeb4,1,2,Data Analyst - eCommerce,Best Buy,67
p_d0c4a767399e1675,1,2,"Analyst, Institutional Systems",Vanier College,135
p_8acfa04a61d8b67f,1,2,Data Management Analyst,LAMP Community Health Centre,205
p_4e82dca4666e13db,1,2,Senior Data Governance Analyst (Remote),Yelp,162
p_c2c222261eddd933,1,2,Analyst,McGill University,135
p_26dab41f37d7d6b1,1,2,network support analyst,Seafair,185
p_215a9b0bd45d7d8c,1,2,Strategic Research Data Analyst,University of Ottawa,146
pj_ed630239b0d7a730,1,2,Junior Decision Support Analyst,Reconnect Community Health Services,205
p_1b1630f411852e85,1,2,"Analyst, Consulting Services & Consumer Insights",Loblaw Companies Limited,61
p_74ec7f6b96ff35bf,1,2,database analyst,Dameng Internet Ltd,102
p_da0fc3a540b1c778,1,2,Sr. Business Analyst - Data,McAfee,216
p_c181d1c0ef2e48b1,1,2,STO 21R - Geospatial Analyst,BC Public Service,195
p_11dcb44eedf5733f,1,2,Siebel Data Analyst,General Electric,132
pj_37f1c43db57def5e,1,2,Business Analyst,Greco Aluminum Railings,222
p_b9d9fbdaaa34eb36,1,2,Junior Business Analyst,Fresh Prep,207
p_e072192ce205ed51,1,2,Category Analyst,Lucros Partners,72
p_47a250e0d0db31c1,1,2,SAP Data Analyst,IBM,102
p_957d037a13e92780,1,2,Data Loss Prevention Analyst,Canada Life Assurance Company,135
p_ba7903f22afe9c8a,1,2,Data Analyst,IQ Hunt,205
p_979d61222d56dce9,1,2,Operations Support Analyst,Canada Guaranty,72
p_3ae7a4ef865b8e77,1,2,database analyst,Revolution Capital,224
p_fa4cc81f80ca9c1c,1,2,Business Analyst - Foundry,Providence Health Care,207
p_3fac8a6323273a39,1,2,Data Analyst,SharkNinja Operating,135
p_02c9097ca6189993,1,2,"analyst, database",L.A. Groceries,50
p_1fffee020e6874ad,1,2,Business Analyst,ED Modular Inc.,190
p_b8adea63c0f75ae2,1,2,"Analyst, AMLTF",Banque Laurentienne,135
p_6300a897d23b15b1,1,2,"Senior Analyst, Contract Data Governance",Scotiabank,205
p_a22d6b092ca894c9,1,2,SAP Master Data Analyst,"7ACRES, Supreme Cannabis Company",204
pj_07c15c579d166a63,1,2,Global Mobility Analyst,Bank of Canada,146
p_ca4da107ae149573,1,2,Strategy Analyst,HomeEquity Bank,205
p_16c11f1be80f5da7,1,2,Data Analyst,The Delf Group,83
p_e108559061c5ef91,1,2,Data Analyst / Analyste de données,Tecsys,219
p_d4cfa3d750503370,1,2,Data Dictionary Analyst - Patient Registration,Trillium Health Partners,132
p_402d810c3210bf97,1,2,Research & Data Design Analyst,City of Calgary,69
p_2eb9d8f594a1e7f9,1,2,Data Analyst,HKJ Marketing,165
p_0af011edd5afa1fd,1,2,Analyst - Health and Benefits,Gras Savoye,69
p_50174279f82cb6df,1,2,DATA ANALYST & INTEGRATOR,City of Toronto,205
pj_73183bb5f0e43b8c,1,2,Sales Support Analyst,Ennis Fabrics,89
p_5461730ab6830bff,1,2,"Senior Analyst, Internal Controls (Data)",RBC,54
p_65662fa5e706c2e3,1,2,"Analyst, Data Mining",Charles River Laboratories,119
p_26440d5e9c26472e,1,2,database analyst,Olivia Marie Gardens Medical Centre Inc,131
p_834fb13849446a0f,1,2,database analyst (DBA),NKN Consultancy,61
p_046d4c73ef2e3cb5,1,2,Data Analyst,Opta Information Intelligence Corp.,126
p_6f722a53ef473b95,1,2,Digital Analyst,Venture Communications,69
p_76274c179d8e3415,1,2,"Analyst, Vendor Management, Market Data Services - New Grads",Scotiabank,205
p_269b5188bb0d3602,1,2,Data Analyst - Video Sharing Platform BI,MindGeek Careers,135
p_f480a987c65875d3,1,2,Data Analyst Career Coach,Duke Academy,142
p_ff8456099f7a902c,1,2,"Sr. Analyst, Data Analytics",Poshmark,207
p_9a1a9b93f844ce33,1,2,Inventory Analyst,WeedMD Rx Inc.,51
p_8711ae189a727d84,1,2,Business Intelligence Analyst,University of Ottawa,146
p_60c4094ebfb40479,1,2,Business Intelligence Analyst - SQL Developer,dentalcorp,205
p_ede8e359a40d283c,1,2,Case Costing Data Analyst,William Osler Health Centre,148
p_005e5935e8044b08,1,2,Rewards Analyst (University),Gras Savoye,135
p_7693d53ac254cfe1,1,2,ERP PURCHASING ANALYST,MineSense Technologies,207
p_556330dae9b11384,1,2,Researcher And Policy Analyst,Canadian Teachers' Federation,80
p_0cf29e22e28d7346,1,2,BI Developer,AJW Technique,135
p_58d19e942f87acf8,1,2,Business Data Analyst,University of British Columbia,207
