Job ID,Job Title Index,Job Title,Company Name,Company Location,Country
p_c17245ff963f3d65,1,Data Analyst - Data Understanding,TikTok,Singapore,1
p_96a0b8d9e1355c5c,1,"Intern, Data & Insights (Business Analyst)",CapitaLand,Singapore,1
p_e8fe100f1fa3d75e,1,Marketing Data Analyst - SGUnited Internship Program,Thermo Fisher Scientific,Singapore,1
p_6f193812c33137dd,1,Data Operations Analyst,TikTok,Singapore,1
p_501922a8b002108b,1,Data Analyst I,Covance,Singapore,1
p_05773b099f982343,1,Ad Integrity Data Analyst-Singapore,TikTok,Singapore,1
p_9fce65bb7a4280ad,1,Data / Business Analyst,Groupe Crédit Agricole,Singapore,1
p_56f0b17660a845ea,1,Workflow Analyst,TikTok,Singapore,1
p_6086fa1708f85bdc,1,Commodity Analyst,Cargill,Singapore,1
p_bc4a24431aadaef5,1,Business Analyst,TikTok,Singapore,1
p_dc3f5251f674ae7e,1,Personal Assistant cum Data Analyst /,CAREERSTAR INTERNATIONAL,Singapore,1
p_e153991dcd184720,1,KYC Analyst,Groupe Crédit Agricole,Singapore,1
p_3e096fb1126469ca,1,Data Analyst,Eton House International Education House,Singapore,1
p_0b5f7d2e61386530,1,Capacity Planning Analyst,TikTok,Singapore,1
p_a68bf58747c48934,1,"Data Operations Analyst, Client Data",Janus Henderson,Singapore,1
p_f596bba62036036f,1,Data Analyst,90 Seconds,Singapore,1
p_af3044adb7e6a006,1,SHIPPING ANALYST,Maritime Singapore Connect,Singapore,1
p_ad43b5c7f886b6b5,1,Test Data Analyst,Encora,Singapore,1
p_d908566c93d88860,1,Finance Analyst,Eaton,Singapore,1
p_6f293251b243de80,1,Data Analyst,PolyOne Corporation,Jurong,1
p_1bacecde90717c50,1,Regional Retail Data Analyst,Ninja Van,Singapore,1
p_a1ac127125b550e2,1,Wealth Management Reporting and Data Analyst,UBS,Singapore,1
p_9468cb822e2046de,1,Data Analyst,Keppel Corporation Ltd,Singapore,1
p_c0afef57d803570e,1,Data Operations Analyst,Bytedance,Singapore,1
p_e8a988142438116e,1,Credit Risk Business Data Analyst - SG,Luxoft,Singapore,1
p_a35747c908bacbd7,1,System Analyst & DATA Modeller,Techcom Solutions India Private Limited,Singapore,1
p_847d7ccdfa194a8c,1,Senior Data Analyst / Data Analyst (Data Analytics Division),WSG Workforce Singapore Agency,Singapore,1
p_c2798d5f26c59dd1,1,"Investment Analyst, Real Estate Fund",Ambition Group Singapore Pte Ltd,Singapore,1
p_8418531f0070cf65,1,Technical Analyst,Facebook,Singapore,1
p_5a21f11ae2cf4526,1,Metrics & Reporting Analyst,Prime Therapeutics,Remote,1
p_0b8e4d951820e1de,1,Senior Data Analyst / Data Analyst [Data Analytics Division],Workforce Singapore,Singapore,1
p_2375f62a122e0b40,1,Data Analyst,Sciente International Pte Ltd,Singapore,1
p_f2ac2cea902b1ddf,1,Data Analyst,"Williams-Sonoma, Inc.",Singapore,1
p_387675f54d62d1ff,1,Digital Business Analyst,Jobster Pte Ltd EA License No: 06C5060,Singapore,1
p_bb1cd145e33c0cab,1,Associate Analyst,Cerulli Associates,Singapore,1
