location,country_id,city,state
1,2,Regina,SK
2,2,Vaudreuil-Dorion,QC
3,2,Calgary,AB
4,2,Iqaluit,NU
6,2,Lethbridge,AB
9,2,Pickering,ON
10,2,Toronto,ON
11,2,Surrey,BC
12,2,100 Mile House,BC
13,2,Laval,QC
14,2,Saskatoon,SK
15,2,Markham,ON
17,2,Quebec City,QC
18,2,Bedford,QC
19,2,Mississauga,ON
20,2,Ottawa,ON
21,2,Vancouver,BC
22,2,Montréal,QC
23,2,Sydney,NS
24,2,Waterloo,ON
25,2,Burnaby,BC
26,2,St. John's,NL
27,2,Brampton,ON
28,2,Halifax,NS
29,2,Windsor,ON
30,2,Woodbridge,ON
31,2,Aldouane,NB
32,2,Stoney Creek,ON
33,2,Tiverton,ON
34,2,Delta,BC
35,2,Westmount,QC
36,2,Richmond,BC
37,2,Edmonton,AB
38,2,Bedford,NS
39,2,Milton,ON
40,2,North York,ON
41,2,Aylmer,ON
42,2,Peel,ON
43,2,Coquitlam,BC
45,2,Saint-Césaire,QC
46,2,Haines Junction,YT
47,2,Valcourt,QC
48,2,Concord,ON
49,2,Burlington,ON
51,2,St. Anthony,NL
52,2,Kitchener,ON
53,2,Thunder Bay,ON
54,2,Hamilton,ON
55,2,Port Coquitlam,BC
56,2,Scarborough,ON
57,2,Moncton,NB
58,2,Guelph,ON
59,2,Vanderhoof,BC
60,2,Saint-Laurent,QC
61,2,Saint John,NB
62,2,Oakville,ON
63,2,Sparwood,BC
64,2,Newmarket,ON
65,2,Pointe-Claire,QC
66,2,Lakeshore,ON
67,2,Whitehorse,YT
68,2,Vaughan,ON
69,2,Mary River,NU
70,2,Grimsby,ON
71,2,Bowmanville,ON
72,2,Victoria,BC
73,2,Etobicoke,ON
74,2,Waterdown,ON
75,2,York,ON
76,2,Winnipeg,MB
77,2,Dieppe,NB
78,2,Kelowna,BC
79,2,St. Catharines,ON
80,2,Strathroy,ON
81,2,Wainwright,AB
82,2,London,ON
83,2,Stellarton,NS
84,2,Kirkland,QC
85,2,Peterborough,ON
86,2,Hiawatha,ON
87,2,Brantford,ON
88,2,Greater Sudbury,ON
89,2,Caledon,ON
90,2,Saint-Hubert,QC
91,2,Orangeville,ON
92,2,Charlottetown,PE
93,2,Boucherville,QC
94,2,Richmond Hill,ON
95,2,Langley,BC
96,2,Pemberton,BC
97,2,Châteauguay,QC
98,2,Dorval,QC
99,2,Dartmouth,NS
100,2,Centretown,ON
101,2,Belleville,ON
102,2,Gatineau,QC
103,2,Cambridge,ON
104,2,Verdun,QC
105,2,Stayner,ON
106,2,Sherbrooke,QC
107,2,Fredericton,NB
108,2,Longueuil,QC
109,2,West Vancouver,BC
110,2,St. Thomas,ON
111,2,Kirkland Lake,ON
112,2,Acheson,AB
113,2,New Westminster,BC
114,2,Midland,ON
115,2,Kanata,ON
116,2,Barrie,ON
117,2,Essex,ON
118,2,Niagara-on-the-Lake,ON
119,2,Prince George,BC
120,2,Georgetown,ON
121,2,Venice,AB
122,2,Sioux Lookout,ON
123,2,Ajax,ON
124,2,Chatham-Kent,ON
125,2,Kitimat,BC
126,2,North Battleford,SK
127,2,Ermineskin 138,AB
128,2,Port Hope,ON
129,2,Steinbach,MB
130,2,Westlock,AB
132,2,Enterprise,NB
133,2,Abbotsford,BC
134,2,Blacks Harbour,NB
135,2,Creston,BC
136,2,Chilliwack,BC
137,2,North Vancouver,BC
138,2,Tecumseh,ON
139,2,Greater Toronto Area,ON
140,2,Bruxelles,MB
141,2,Lucknow,ON
142,2,Simcoe,ON
143,2,Mont-Saint-Hilaire,QC
144,2,Salmon Arm,BC
146,2,Middleton,NS
147,2,Norfolk County,ON
148,2,Stony Rapids,SK
149,2,Iroquois,ON
150,2,St. George,NB
151,2,Dorchester,ON
152,2,Kingston,ON
153,2,Revelstoke,BC
154,2,Whistler,BC
155,2,Buick,BC
156,2,Thompson,MB
157,2,Tilbury,ON
158,2,Teeswater,ON
159,2,Rexdale,ON
160,2,Come By Chance,NL
161,2,Ponoka,AB
162,2,Petersburg,ON
163,2,Airdrie,AB
164,2,Leduc,AB
165,2,East York,ON
166,2,Pitt Meadows,BC
167,2,Shawinigan,QC
168,2,Tillsonburg,ON
169,2,Aldergrove,BC
170,2,Kamloops,BC
171,2,Metro Vancouver Regional District,BC
172,2,Ingersoll,ON
173,2,Labrador City,NL
174,2,Bath,ON
